Genus,NP-001-502-714-1F_filt.fastq.gz,NP-002-503-714-1F_filt.fastq.gz,NP-003-505-714-1F_filt.fastq.gz,NP-004-506-714-1F_filt.fastq.gz,NP-007-510-714-1F_filt.fastq.gz,NP-028-517-716-1F_filt.fastq.gz,NP-029-518-716-1F_filt.fastq.gz,NP-036-506-718-1F_filt.fastq.gz,NP-037-507-718-1F_filt.fastq.gz
Methylomagnum,0,0,0,0,0,0,0,0,0
Ochrobactrum,0,0,0,0,0,0,0,0,0
Caulobacter,0,0,0,0,0,0,0,0,0
alphaI_cluster,0,0,0,0,0,0,0,0,0
Methylophilus,0,0,0,0,0,0,0,0,0
Haliangium,0,0,0,0,0,0,0,0,0
Porphyromonas,0,0,0,0,16,0,0,0,0
Psychroglaciecola,0,0,0,0,0,0,0,0,0
Tepidimonas,0,0,0,0,0,0,0,0,0
Dickeya,0,0,0,0,0,0,0,0,0
Desulfobulbus,0,0,0,0,0,0,0,0,0
Iodobacter,0,0,0,0,0,0,0,0,0
Thioflavicoccus,0,0,0,0,0,0,0,0,0
Deefgea,0,3,0,0,0,0,0,0,0
Exiguobacterium,0,0,0,0,0,0,0,0,0
Candidatus_Chloroploca,0,0,0,0,0,0,0,0,0
Clostridium_sensu_stricto_9,0,0,0,0,0,0,0,0,0
Methylocystis,0,0,0,0,0,0,0,0,0
966-1,0,0,0,0,0,0,0,0,0
Lentimicrobium,0,0,0,0,0,0,0,0,0
Novosphingobium,0,0,0,0,0,0,0,0,0
Niveispirillum,0,0,0,0,0,0,0,0,0
Propionivibrio,0,0,0,0,0,0,0,0,0
Chlorobaculum,0,0,0,0,0,0,0,0,0
Halomonas,0,0,0,0,3,0,0,0,0
Inhella,0,0,0,0,0,0,0,0,0
Rothia,0,0,0,54,0,0,0,0,0
Aquimonas,0,0,0,0,0,0,0,0,0
Hirschia,0,0,0,0,0,0,0,0,0
Paucibacter,0,0,0,0,0,0,0,0,0
Paracoccus,0,0,0,0,0,0,0,0,0
Yonghaparkia,0,0,0,0,0,0,0,0,0
SU2_symbiont_group,0,0,0,0,0,0,0,0,0
Methylovulum,0,0,0,0,0,0,0,0,0
Enhydrobacter,0,0,0,0,0,0,0,0,33
Phaselicystis,0,0,0,0,0,0,0,0,0
Ciceribacter,0,0,0,0,0,0,0,0,0
Desulfovibrio,0,0,0,0,0,0,0,33,0
Taeseokella,0,0,0,0,0,0,0,0,0
Ralstonia,0,0,6,4,0,0,0,0,0
Desulforhopalus,0,0,0,0,0,0,0,0,0
Paludibaculum,0,0,0,0,0,0,0,0,0
Polyangium,0,0,0,0,0,0,0,0,0
Sphingobacterium,0,0,0,0,0,0,0,0,0
Hafnia-Obesumbacterium,0,0,0,0,0,0,0,0,0
Duganella,0,0,0,0,0,0,0,0,0
GWE2-31-10,0,0,0,0,0,0,0,0,0
Conexibacter,0,0,0,0,0,0,0,0,0
Brevifollis,0,0,0,0,0,0,0,0,0
Stenotrophomonas,0,3,0,0,0,0,0,0,7
Coprococcus_1,0,0,0,0,0,0,0,0,0
Alloprevotella,0,0,0,0,11,0,0,0,0
Cellvibrio,0,0,0,0,0,0,0,0,0
Nostoc_PCC-7524,0,0,0,0,0,0,0,0,0
Ercella,0,0,0,0,0,0,0,0,0
Acetobacteroides,0,0,0,0,0,0,0,0,0
BSV13,0,0,0,0,0,0,0,0,0
Parabacteroides,0,0,0,0,0,0,0,0,0
Anaerosporobacter,0,0,11,0,0,0,0,0,0
Candidatus_Lumbricincola,0,0,0,0,0,0,0,0,0
Treponema,0,0,0,0,0,0,0,0,0
Tropicimonas,0,0,0,0,0,0,0,0,0
Candidatus_Finniella,0,0,0,0,0,0,0,0,0
Thermoflexibacter,0,0,0,0,0,0,0,0,0
Roseimarinus,0,0,0,0,0,0,0,0,0
UKL13-1,0,0,0,0,0,0,0,0,0
Bacteroides,0,0,0,0,0,0,0,0,0
Prevotella_9,0,0,0,0,0,0,0,0,0
Trichormus_HINDAK_2001-4,0,0,0,0,0,0,0,0,0
Leucobacter,0,3,0,0,0,0,0,0,0
Anoxybacillus,0,0,0,0,0,0,0,0,0
Aquabacterium,0,0,0,0,0,0,0,0,0
Rahnella,0,0,0,0,0,0,0,0,0
Cystobacter,0,0,0,0,0,0,0,0,0
Imperialibacter,0,0,0,0,0,0,0,0,0
Scytonema_UTEX_2349,0,0,0,0,0,0,0,0,0
Dechloromonas,0,0,0,0,0,0,0,0,0
Anaerovorax,0,0,0,0,0,0,0,0,0
Saprospira,0,0,0,0,0,0,0,0,0
Wolinella,0,0,0,0,0,0,0,0,0
Nodosilinea_PCC-7104,0,0,0,0,0,0,0,0,0
GWE2-42-42,0,0,0,0,0,0,0,0,0
Cellulomonas,0,0,0,0,0,0,0,18,0
Lewinella,0,0,0,0,0,0,0,0,0
Aquicella,0,0,0,0,0,0,0,0,0
Rhodoplanes,0,0,0,0,0,0,0,0,0
Tolypothrix_PCC-7601,0,0,0,0,0,0,0,0,0
Chitinimonas,0,0,0,0,0,0,0,0,0
Estrella,0,0,0,0,0,0,0,0,0
Aetherobacter,0,0,0,0,0,0,0,0,0
Streptococcus,0,0,0,29,1,0,0,0,0
Enterococcus,0,0,0,0,0,0,0,0,0
Roseimicrobium,0,0,0,0,0,0,0,0,0
Bosea,0,0,0,0,0,0,0,0,0
Nostoc_PCC-8976,0,0,0,0,0,0,0,0,0
Saccharofermentans,0,0,0,0,0,0,0,0,0
Cutibacterium,0,0,0,0,0,0,0,0,0
Xanthobacter,0,0,0,0,0,0,9,0,0
Sva0081_sediment_group,0,0,0,0,0,0,0,0,0
Sphaerotilus,1,0,0,0,0,0,0,0,0
Azospirillum,0,0,0,0,0,0,0,0,0
Cephalothrix_SAG_75.79,0,0,0,0,0,0,0,0,0
Zymophilus,0,0,0,0,0,0,0,0,0
Planomicrobium,0,0,0,0,0,0,0,0,9
Crenothrix,0,0,0,0,0,0,0,0,0
possible_genus_03,0,0,0,0,0,0,0,0,0
Citrobacter,0,0,0,0,0,0,0,0,0
Achromatium,0,0,0,0,0,0,0,0,0
Turneriella,0,0,0,0,0,0,0,0,0
Uliginosibacterium,0,0,0,0,0,0,0,0,0
Flexibacter,0,0,0,0,0,0,0,0,0
Prevotellaceae_Ga6A1_group,0,0,0,0,0,0,0,0,0
Holophaga,0,0,0,0,0,0,0,0,0
Haemophilus,0,0,0,44,0,0,0,0,0
Bergeyella,0,0,0,0,0,0,0,0,0
Propionibacterium,0,0,0,0,0,0,0,0,0
Verrucomicrobium,0,0,0,0,0,0,0,0,0
Amaricoccus,0,0,0,0,0,0,0,0,0
Tolumonas,0,0,0,0,0,0,0,0,0
Leuconostoc,0,0,0,0,0,0,0,0,0
Phycisphaera,0,0,0,0,0,0,0,0,0
MM2,0,0,0,0,0,0,0,0,0
Runella,0,0,0,0,0,0,0,0,0
Solirubrobacter,0,0,0,0,0,0,0,0,0
endosymbionts8,0,0,0,0,0,0,0,0,0
Sulfurimonas,0,0,0,0,0,0,0,0,0
Falsirhodobacter,0,0,0,0,0,0,0,0,0
Comamonas,0,0,0,0,0,0,0,0,0
Thiobacillus,0,0,0,0,0,0,0,0,0
Phenylobacterium,0,0,0,0,0,0,0,0,0
Nodularia_PCC-9350,0,0,0,0,0,0,0,0,0
Leptospira,0,0,0,0,0,0,0,0,0
Arcticibacter,0,0,0,0,0,0,0,0,0
Gaiella,0,0,0,0,0,0,0,0,0
Lachnospiraceae_UCG-007,0,0,0,0,0,0,0,0,0
Saccharopolyspora,0,0,0,0,0,0,0,0,0
Chthonobacter,0,0,0,0,0,0,0,0,0
Sulfurovum,0,0,0,0,0,0,0,0,0
Candidatus_Xiphinematobacter,0,0,0,0,0,0,0,0,0
Ruminococcaceae_UCG-010,0,0,0,0,0,0,0,0,0
Sorangium,0,0,0,0,0,0,0,0,0
SWB02,0,0,0,0,0,0,0,0,0
Sandaracinus,0,0,0,0,0,0,0,0,0
Mitsuaria,0,0,0,0,0,0,0,0,0
JGI_0001001-H03,0,0,0,0,0,0,0,0,0
Ruminococcaceae_UCG-013,0,0,0,0,0,0,0,0,0
Sphingobium,0,0,0,0,0,0,0,0,0
Reyranella,0,0,0,0,0,0,0,0,0
Oscillochloris,0,0,0,0,0,0,0,0,0
Pseudanabaena_PCC-7429,0,0,0,0,0,0,0,0,0
Lysinibacillus,0,0,0,0,0,0,0,0,0
Acidovorax,2,0,0,0,0,0,0,0,0
Proteiniphilum,0,0,0,0,0,0,0,0,5
Pajaroellobacter,0,0,0,0,0,0,0,0,0
Blvii28_wastewater-sludge_group,0,0,0,0,0,0,0,0,0
Blastomonas,0,0,0,0,0,0,0,0,0
Polymorphobacter,0,0,0,0,0,0,0,0,0
Candidatus_Chlorothrix,0,0,0,0,0,0,0,0,0
Candidatus_Contendobacter,0,0,0,0,0,0,0,0,0
Thorsellia,0,0,0,0,0,0,0,0,0
Aureispira,0,0,0,0,0,0,0,0,0
Telmatospirillum,0,0,0,0,0,0,0,0,0
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0,0,0,0,0,0,0,0,0
Dongia,0,0,0,0,0,0,0,0,0
Geobacillus,0,0,4,0,0,0,0,0,0
Serratia,0,0,0,0,0,0,0,0,0
Nevskia,0,0,0,0,0,0,0,0,0
Candidatus_Turbabacter,0,0,0,0,0,0,0,0,0
Leptolyngbya_ANT.L67.1,0,0,0,0,0,0,0,0,0
Phaeodactylibacter,0,0,0,0,0,0,0,0,0
Hydrogenophaga,0,0,0,0,0,0,0,0,0
Erwinia,0,0,0,0,0,0,0,0,0
Lutispora,0,0,0,0,0,0,0,0,0
Pseudobacteroides,0,0,0,0,0,0,0,0,0
Syntrophobacter,0,0,0,0,0,0,0,0,0
Iamia,0,0,0,0,0,0,0,0,0
Intestinimonas,0,0,0,0,0,0,0,0,0
UTBCD1,0,0,0,0,0,0,0,0,0
Anaerobacterium,0,2,0,0,0,0,0,0,0
Lawsonella,0,0,0,0,4,0,0,0,0
Insolitispirillum,0,0,0,0,0,0,0,0,0
Modicisalibacter,0,0,0,0,0,0,0,0,0
Candidatus_Hepatincola,0,0,0,0,0,0,0,0,0
Clostridium_sensu_stricto_12,0,0,0,0,0,0,0,0,0
Candidatus_Amoebophilus,0,0,0,0,0,0,0,0,0
Hyphomicrobium,0,0,0,0,0,0,0,0,0
SM1A02,0,0,0,0,0,0,0,0,0
Coxiella,0,0,0,0,0,0,0,0,0
Dysgonomonas,0,0,0,0,0,0,0,0,0
Methyloglobulus,0,0,0,0,0,0,0,0,0
Paludibacterium,0,0,0,0,0,0,0,0,0
Prevotella_1,0,0,0,0,0,0,0,0,0
Jatrophihabitans,0,0,0,0,0,0,0,0,0
Candidatus_Competibacter,0,0,0,0,0,0,0,0,0
Loktanella,0,0,0,0,0,0,0,0,0
Nocardioides,0,0,0,0,0,0,0,0,0
Alkalimonas,0,0,0,0,0,0,0,0,0
Aridibacter,0,0,0,0,0,0,0,0,0
Spiroplasma,0,0,0,0,0,0,0,0,0
Sebaldella,0,0,0,0,0,0,0,0,0
Cosenzaea,0,0,0,0,0,0,0,0,0
Ignavibacterium,0,0,0,0,0,0,0,0,0
Veillonella,0,0,0,5,0,0,0,0,0
Kocuria,0,0,0,0,0,0,0,0,0
Calothrix_PCC-6303,0,0,0,0,0,0,0,0,0
Fortiea_PCC-7126,0,0,0,0,0,0,0,0,0
Candidatus_Paracaedibacter,0,0,0,0,0,0,0,0,0
Smithella,0,0,0,0,0,0,0,0,0
Chromatocurvus,0,0,0,0,0,0,0,0,0
Piscinibacter,0,0,0,0,0,0,0,0,0
Snowella_0TU37S04,0,0,0,0,0,0,0,0,0
Chloronema,0,0,0,0,0,0,0,0,0
Candidatus_Berkiella,0,0,0,0,0,0,0,0,0
Candidatus_Solibacter,0,0,0,0,0,0,0,0,0
Mucilaginibacter,0,0,0,0,0,0,0,0,0
Staphylococcus,0,0,0,0,0,0,0,0,0
Sh765B-TzT-35,0,0,0,0,0,0,0,0,0
Tepidicella,0,0,0,0,0,0,0,0,0
Paenibacillus,0,0,0,0,0,0,0,0,0
Actinomyces,0,0,0,8,1,0,0,0,0
Syntrophus,0,0,0,0,0,0,0,0,0
Mesorhizobium,0,0,0,0,0,0,0,0,0
Methylibium,0,0,0,0,0,0,0,0,0
Caedibacter,0,0,0,0,0,0,0,0,0
Crocinitomix,0,0,0,0,0,0,0,0,0
Roseburia,0,0,0,0,0,0,0,0,0
Breznakia,0,0,0,0,0,0,0,0,0
Candidatus_Endoecteinascidia,0,0,0,0,0,0,0,0,0
Ammoniphilus,0,0,0,0,0,0,0,0,0
Lautropia,0,0,0,0,0,0,0,0,0
Nostoc_PCC-73102,0,0,0,0,0,0,0,0,0
Sphaerospermopsis_BCCUSP55,0,0,0,0,0,0,0,0,0
FukuN18_freshwater_group,0,0,0,0,0,0,0,0,0
Ramlibacter,0,0,0,0,0,0,0,0,0
Sva0996_marine_group,0,0,0,0,0,0,0,0,0
Candidatus_Protochlamydia,0,0,0,0,0,0,0,0,0
Candidatus_Xenohaliotis,0,0,0,0,0,0,0,0,0
Flavihumibacter,0,0,0,0,0,0,0,0,0
Sphingoaurantiacus,0,0,0,0,0,0,0,0,0
Subgroup_10,0,0,0,0,0,0,0,0,0
Ga0074140,0,0,0,0,0,0,0,0,0
Kamptonema_PCC-6407,0,0,0,0,0,0,0,0,0
Calothrix_KVSF5,0,0,0,0,0,0,0,0,0
MM1,0,0,0,0,0,0,0,0,0
Ohtaekwangia,0,0,0,0,0,0,0,0,0
Ruminiclostridium,0,0,0,0,0,0,0,0,0
Candidatus_Ovatusbacter,0,0,0,0,0,0,0,0,0
Christensenellaceae_R-7_group,0,0,0,0,0,0,0,0,0
Micromonospora,0,0,0,0,0,0,0,0,0
Bryobacter,0,0,0,0,0,0,0,0,0
Trichodesmium_IMS101,0,0,0,0,0,0,0,0,0
Parablastomonas,0,0,0,0,0,0,0,0,0
Prevotellaceae_UCG-001,0,0,0,0,0,0,0,0,0
Herbinix,0,0,0,0,0,0,0,0,0
M2PT2-76_termite_group,0,0,0,0,0,0,0,0,0
Hydrogenispora,0,0,0,0,0,0,0,0,0
Magnetospirillum,0,0,0,0,0,0,0,0,0
Candidatus_Marithioploca,0,0,0,0,0,0,0,0,0
Facklamia,0,0,0,0,0,0,0,0,0
Macrococcus,0,0,0,0,0,0,0,0,0
Candidatus_Rubidus,0,0,0,0,0,0,0,0,0
Neochlamydia,0,0,0,0,0,0,0,0,0
Hyphomonas,0,0,0,0,0,0,0,0,0
Kineosporia,0,0,0,0,0,0,0,0,0
Desulfosporosinus,0,0,0,0,0,0,0,0,0
Wandonia,0,0,0,0,0,0,0,0,0
Sporomusa,0,0,0,0,0,0,0,0,0
Pelosinus,0,0,0,0,0,0,0,0,0
Beggiatoa,0,0,0,0,0,0,0,0,0
Pseudenhygromyxa,0,0,0,0,0,0,0,0,0
Anaerococcus,0,0,0,0,0,0,0,0,0
Aphanizomenon_MDT14a,0,0,0,0,0,0,0,0,0
Vulgatibacter,0,0,0,0,0,0,0,0,0
Ruminococcaceae_UCG-014,0,0,0,0,0,0,0,0,0
Elusimicrobium,0,0,0,0,0,0,0,0,0
Acetobacterium,0,0,0,0,0,0,0,0,0
Rikenella,0,0,0,0,0,0,0,0,0
GCA-900066225,0,0,0,0,0,0,0,0,0
Limnothrix,0,0,0,0,0,0,0,0,0
Wolbachia,0,0,0,4,0,0,0,0,0
Anaerospora,0,0,0,0,0,0,0,0,0
Flectobacillus,0,0,0,0,0,0,0,0,0
CL500-3,0,0,0,0,0,0,0,0,0
Syntrophorhabdus,0,0,0,0,0,0,0,0,0
Candidatus_Arthromitus,0,0,0,0,0,0,0,0,0
Dialister,0,0,0,0,0,0,0,0,0
Candidatus_Omnitrophus,0,0,0,0,0,0,0,0,0
Lachnoclostridium_5,0,0,0,0,0,0,0,0,0
Alkanindiges,0,0,0,0,0,0,0,0,0
Candidatus_Endomicrobium,0,0,0,0,0,0,0,0,0
Parachlamydia,0,0,0,0,0,0,0,0,0
Fonticella,0,0,0,0,0,0,0,0,0
AAP99,0,0,0,0,0,0,0,0,0
Rickettsia,0,0,0,0,0,0,0,0,0
Microbacterium,0,0,0,0,0,0,0,0,0
Synechococcus_MBIC10613,0,0,0,0,0,0,0,0,0
Nitrospira,0,0,0,0,0,0,0,0,0
Asaccharospora,0,0,0,0,0,0,0,0,0
Ruminiclostridium_1,0,0,0,0,0,0,0,0,0
Mycoplana,0,0,0,0,0,0,0,0,0
Kinneretia,0,0,0,0,0,0,0,0,0
Salinirepens,0,0,0,0,0,0,0,0,0
Spongiivirga,0,0,0,0,0,0,0,0,0
Spongiimonas,0,0,0,0,0,0,0,0,0
Candidatus_Limnoluna,0,0,0,0,0,0,0,0,0
Cereibacter,0,0,0,0,0,0,0,0,0
Minicystis,0,0,0,0,0,0,0,0,0
Alpinimonas,0,0,0,0,0,0,0,0,0
Anabaena_BECID22,0,0,0,0,0,0,0,0,0
Fimbriiglobus,0,0,0,0,0,0,0,0,0
Candidatus_Flaviluna,0,0,0,0,0,0,0,0,0
Mongoliicoccus,0,0,0,0,0,0,0,0,0
Quatrionicoccus,0,0,0,0,0,0,0,0,0
Candidatus_Paceibacter,0,0,0,0,0,0,0,0,0
Methylovorus,0,0,0,0,0,0,0,0,0
Rhodocyclus,0,0,0,0,0,0,0,0,0
Dendrosporobacter,0,0,0,0,0,0,0,0,0
Anaerofustis,0,0,0,0,0,0,0,0,0
Rhizomicrobium,0,0,0,0,0,0,0,0,0
Nannocystis,0,0,0,0,0,0,0,0,0
Aquincola,0,0,0,0,0,0,0,0,0
Macromonas,0,0,0,0,0,0,0,0,0
GOUTB8,0,0,0,0,0,0,0,0,0
SBZC-1223,0,0,0,0,0,0,0,0,0
