Genus,H2O-041-513-718-1F_filt.fastq.gz,H2O-042-515-718-1F_filt.fastq.gz,H2O-043-516-718-1F_filt.fastq.gz,H2O-044-517-718-1F_filt.fastq.gz,H2O-045-518-719-1F_filt.fastq.gz,H2O-046-520-719-1F_filt.fastq.gz,H2O-047-521-719-1F_filt.fastq.gz,H2O-048-522-719-1F_filt.fastq.gz,H2O-049-502-719-1F_filt.fastq.gz,H2O-050-503-719-1F_filt.fastq.gz,H2O-051-505-719-1F_filt.fastq.gz
CL500-29_marine_group,14,7,8,5,2,20,19,19,25,22,4
Algoriphagus,0,6,11,14,19,0,1,15,11,6,18
Anaeromyxobacter,8,173,0,8,1,15,0,41,2,31,1
Chthoniobacter,3,53,5,34,0,13,6,45,12,46,1
Porphyrobacter,0,0,12,7,65,0,0,0,3,3,10
Dinghuibacter,3,109,78,7,12,0,3,113,76,25,8
Thiocapsa,0,0,0,0,0,0,0,0,0,0,0
Vogesella,5,8,1,0,9,7,5,13,0,2,2
Terrimicrobium,0,9,0,3,0,0,0,10,2,2,0
Pelomonas,3,0,6,4,31,0,0,3,12,11,3
Candidatus_Symbiobacter,2,1,9,3,1,1,1,5,11,2,3
Mycobacterium,10,61,26,38,19,4,11,33,44,31,20
Geobacter,3,312,2,15,28,12,10,88,7,64,6
Herbaspirillum,12,0,12,10,10,7,8,0,10,0,15
Phormidium_IAM_M-71,0,0,0,0,0,1,0,0,0,0,0
Ferruginibacter,0,29,15,8,0,0,0,31,11,18,3
OLB12,4,34,1,7,2,2,0,16,1,5,1
Methylorosula,30,7,20,0,0,31,40,24,21,0,0
Oligoflexus,0,91,4,48,4,6,6,32,3,77,4
Methylobacter,0,37,0,0,0,6,1,35,0,5,0
WCHB1-32,0,66,0,0,0,3,0,26,1,6,0
Perlucidibaca,0,0,0,2,54,0,0,0,0,0,0
Arenimonas,1,63,1,28,0,0,0,40,5,77,2
Neisseria,0,0,0,0,0,0,0,0,0,0,0
Arcobacter,1,0,0,0,0,5,3,3,1,0,0
Tibeticola,18,3,38,3,1,29,39,14,49,2,6
Shewanella,0,0,0,5,0,0,0,0,0,6,0
Lacibacter,1,27,0,5,0,0,0,0,1,13,1
Nostoc_PCC-7107,0,0,0,12,3,0,0,0,0,0,0
Anabaena_XPORK15F,0,0,24,13,59,0,0,0,12,15,14
Turicibacter,0,0,0,0,0,0,0,2,0,0,0
Bdellovibrio,0,19,2,9,7,3,2,9,3,34,0
Candidatus_Bacilloplasma,0,0,0,0,0,0,0,0,0,0,0
Azospira,0,0,0,0,0,0,0,0,0,0,1
Chlorobium,0,3,0,0,0,3,0,4,2,0,0
Pseudomonas,12,10,117,7,4,0,0,8,0,6,0
Pedobacter,22,10,18,2,0,23,22,19,19,0,0
RBG-16-49-21,0,3,0,1,0,0,0,0,0,0,0
Alsobacter,0,0,0,11,7,0,0,0,4,5,6
Cyanobium_PCC-6307,0,7,0,34,9,0,0,3,1,63,4
Anabaena_PCC-7108,0,0,0,0,0,0,0,0,0,1,0
Hymenobacter,0,0,0,0,0,0,0,0,0,0,0
Geothrix,0,3,0,1,0,0,0,14,0,0,0
Parasediminibacterium,3,5,0,6,3,1,12,0,0,6,3
Nitratireductor,0,0,0,2,22,0,0,0,0,0,0
Arcicella,0,9,4,15,20,0,0,11,7,7,9
Cellulosilyticum,0,0,0,0,0,0,0,0,0,0,0
Lacihabitans,0,12,1,14,13,0,0,0,0,17,4
Bacteriovorax,2,19,1,13,2,4,0,0,0,7,1
Brevundimonas,2,0,24,7,2,0,0,0,0,4,0
Spirochaeta_2,0,27,2,0,0,0,1,12,5,15,3
Emticicia,0,8,0,11,20,0,0,7,1,22,3
Fodinicola,3,17,0,3,0,0,0,3,2,12,0
Corynebacterium_1,0,0,0,0,0,0,0,0,0,0,0
Bacillus,0,0,0,0,0,0,0,0,0,0,2
Roseomonas,4,13,0,13,13,0,0,0,0,13,1
Lactobacillus,0,0,0,0,0,0,0,0,0,0,0
Thiovirga,0,4,0,2,0,11,2,9,3,18,5
Lamprocystis,0,2,0,0,0,0,0,0,0,6,0
Methyloparacoccus,10,33,15,0,0,16,10,45,22,0,0
Leptothrix,0,14,1,5,0,0,2,8,6,27,3
Sarcina,0,0,0,0,0,0,0,0,0,0,0
Rubrivivax,0,4,1,1,38,0,0,0,2,0,0
Gemmatimonas,2,21,0,19,25,3,0,17,5,28,0
Candidatus_Accumulibacter,0,0,0,0,0,0,0,0,0,7,0
Planktothrix_NIVA-CYA_15,0,0,0,0,0,0,0,0,0,0,0
Dechlorobacter,0,2,0,0,0,0,0,0,0,2,0
Haliscomenobacter,0,0,0,2,0,0,0,4,1,8,0
Chitinibacter,0,0,0,0,1,0,0,3,0,10,0
Pantoea,0,0,0,0,0,0,0,0,0,0,0
Undibacterium,1,10,0,5,0,0,3,4,1,11,0
Tetrasphaera,0,3,0,0,0,0,0,0,0,4,0
Rhodobacter,0,2,1,0,42,0,0,0,5,22,2
Niveibacterium,0,0,0,0,0,1,0,0,0,0,0
Paeniclostridium,0,0,0,0,0,0,0,0,0,0,0
possible_genus_06,0,0,0,0,0,0,0,0,0,0,0
Flavisolibacter,0,0,0,0,0,0,0,0,0,0,0
Methylosoma,0,3,0,2,0,0,0,0,0,1,1
Hypnocyclicus,0,3,0,0,0,3,0,0,1,0,0
Cytophaga,1,10,0,16,2,0,0,16,5,34,3
Anabaena_PCC-7122,1,10,2,5,3,0,0,14,0,45,1
Nordella,0,1,0,2,3,0,0,0,0,0,0
Peredibacter,9,26,12,43,51,0,0,6,6,64,7
Ellin6067,0,2,0,0,0,0,0,0,0,0,0
Paenirhodobacter,0,0,0,0,0,0,0,0,1,0,0
Massilia,0,0,10,0,0,0,0,0,0,0,0
Pseudoflavitalea,0,0,5,0,3,0,5,8,2,3,2
Cloacibacterium,20,0,0,5,7,12,16,0,0,7,0
Luteitalea,0,0,0,0,0,0,0,0,0,0,0
Capnocytophaga,0,0,0,0,0,0,0,0,0,0,0
Xenophilus,0,3,6,0,0,15,0,0,6,0,0
Rhizobacter,1,4,5,3,7,0,0,5,0,1,0
Chryseobacterium,0,0,5,0,0,29,0,0,0,0,0
Prosthecobacter,0,0,1,5,1,0,0,7,5,24,3
Lacunisphaera,0,0,0,7,0,0,0,0,0,10,0
Sandarakinorhabdus,0,0,0,19,19,0,0,0,1,8,0
Rhodoferax,6,26,8,13,2,6,2,14,10,15,11
Candidatus_Aquirestis,0,0,2,3,6,0,0,19,22,0,0
Sulfuritalea,0,6,0,1,0,0,0,20,0,2,0
OM27_clade,0,42,6,10,0,0,13,16,14,16,0
Glaciimonas,0,0,0,0,0,0,0,0,0,1,0
Erysipelothrix,0,0,0,0,0,0,0,0,0,0,0
Fusobacterium,0,0,0,0,0,0,0,0,0,0,0
Paludibacter,3,4,0,3,0,2,1,21,4,12,0
Acidibacter,0,2,0,0,0,0,0,0,0,4,0
Methylobacillus,0,0,0,0,0,0,0,0,0,0,0
pLW-20,0,0,0,0,0,0,0,0,0,0,0
Legionella,0,0,5,0,2,0,0,0,8,12,0
Marinagarivorans,0,30,1,11,0,0,0,3,4,56,4
Opitutus,3,46,2,4,0,0,3,15,7,5,2
Cuspidothrix_LMECYA_163,0,6,3,12,4,0,0,3,7,4,0
Treponema_2,0,0,0,0,0,0,0,0,0,0,0
Salinispira,0,3,0,0,0,0,1,6,0,4,0
Xylophilus,0,3,1,2,1,1,3,3,4,0,1
Ferribacterium,0,4,0,0,0,3,0,0,0,0,1
Parafilimonas,0,1,0,2,0,0,0,0,0,0,0
Limnobacter,0,0,6,0,11,0,0,4,28,0,0
Streptomyces,0,0,0,0,0,0,0,0,0,2,0
ADurb.Bin063-1,0,7,0,0,0,0,0,0,0,0,0
Haematospirillum,0,0,0,0,0,2,2,0,0,4,5
Asticcacaulis,0,0,0,0,4,0,0,0,3,6,0
MSBL3,0,5,0,0,0,0,1,0,0,0,0
Gemmobacter,0,0,0,0,6,0,1,0,0,0,0
LD29,0,0,0,0,0,0,0,0,0,5,0
FukuN57,1,0,20,0,0,4,3,0,8,0,0
Cephaloticoccus,0,18,10,3,0,1,2,24,8,7,1
Methylomagnum,0,17,0,0,0,0,0,4,0,2,0
Ochrobactrum,0,0,0,0,0,0,0,0,0,0,0
Caulobacter,0,0,1,3,11,0,0,0,2,3,0
alphaI_cluster,5,6,20,8,8,7,5,12,5,16,1
Methylophilus,0,0,0,0,47,0,0,0,0,0,0
Haliangium,0,23,0,3,0,0,0,3,1,1,0
Porphyromonas,0,0,0,0,0,0,0,0,0,0,0
Psychroglaciecola,0,0,0,0,0,0,0,0,0,0,0
Tepidimonas,0,0,0,0,0,0,0,0,0,0,0
Dickeya,0,0,0,0,0,0,0,0,0,0,0
Desulfobulbus,0,12,0,0,0,0,0,0,0,1,0
Iodobacter,0,0,0,0,0,0,0,0,0,0,0
Thioflavicoccus,0,0,0,0,0,0,0,0,0,0,0
Deefgea,0,0,0,0,0,0,0,0,0,0,0
Exiguobacterium,2,0,27,5,0,0,0,0,0,0,2
Candidatus_Chloroploca,0,0,0,0,0,0,0,0,0,0,0
Clostridium_sensu_stricto_9,0,15,0,0,0,0,0,0,0,0,0
Methylocystis,0,0,9,0,0,2,5,0,15,0,0
966-1,0,0,0,0,2,0,0,0,0,0,1
Lentimicrobium,0,5,0,0,0,0,0,0,0,0,0
Novosphingobium,5,0,4,5,6,0,0,2,8,3,0
Niveispirillum,0,0,3,4,16,0,0,0,0,4,6
Propionivibrio,0,0,0,0,0,0,0,0,0,0,0
Chlorobaculum,0,0,0,0,0,0,0,0,0,0,0
Halomonas,0,0,0,0,0,0,0,3,0,0,0
Inhella,0,0,0,3,7,0,0,0,0,0,0
Rothia,0,0,0,0,0,0,0,0,0,0,0
Aquimonas,0,0,0,0,20,0,0,0,0,0,0
Hirschia,0,0,4,4,0,0,0,0,0,0,0
Paucibacter,0,0,0,0,0,0,0,0,0,0,0
Paracoccus,0,0,4,0,0,0,0,0,0,11,0
Yonghaparkia,0,0,0,0,1,0,0,0,0,3,0
SU2_symbiont_group,0,0,0,15,0,0,0,0,0,33,0
Methylovulum,0,10,0,2,0,0,0,7,0,3,0
Enhydrobacter,0,0,0,0,0,0,0,0,0,0,0
Phaselicystis,0,22,0,3,1,0,0,8,0,4,0
Ciceribacter,0,0,0,1,9,0,0,0,0,0,0
Desulfovibrio,0,0,0,0,0,3,0,0,0,0,0
Taeseokella,0,0,0,4,2,0,0,0,2,1,4
Ralstonia,0,0,0,0,0,0,0,0,0,0,0
Desulforhopalus,0,0,0,0,0,2,0,0,0,6,0
Paludibaculum,0,4,1,0,0,0,0,0,0,16,0
Polyangium,0,0,0,0,0,0,0,0,0,0,0
Sphingobacterium,0,0,22,0,0,0,0,0,0,0,0
Hafnia-Obesumbacterium,0,0,6,5,0,0,0,0,0,16,0
Duganella,0,0,0,0,0,0,0,0,0,3,0
GWE2-31-10,0,0,0,0,0,0,0,0,0,0,0
Conexibacter,0,15,0,0,0,0,0,0,0,1,0
Brevifollis,0,0,0,2,2,0,0,0,0,1,0
Stenotrophomonas,0,0,3,0,0,0,0,0,0,0,0
Coprococcus_1,0,0,0,0,0,0,0,0,0,0,0
Alloprevotella,0,0,0,0,0,0,0,0,0,0,0
Cellvibrio,0,0,0,4,4,3,3,0,1,9,0
Nostoc_PCC-7524,0,0,0,0,0,0,0,0,0,33,0
Ercella,0,0,0,0,0,0,0,0,0,2,0
Acetobacteroides,0,0,0,0,0,0,0,0,0,1,0
BSV13,0,24,0,0,0,2,3,23,0,19,0
Parabacteroides,0,0,0,0,0,0,0,0,0,0,0
Anaerosporobacter,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Lumbricincola,0,0,0,0,0,0,6,0,0,0,0
Treponema,0,2,0,0,0,0,0,0,0,0,0
Tropicimonas,0,0,0,0,0,0,0,0,0,26,0
Candidatus_Finniella,0,0,0,0,0,0,0,0,0,0,0
Thermoflexibacter,0,1,0,0,3,0,0,0,0,0,2
Roseimarinus,0,0,0,3,0,3,0,2,0,7,0
UKL13-1,0,0,0,0,0,0,0,0,2,3,0
Bacteroides,0,0,0,0,0,2,0,12,3,0,0
Prevotella_9,0,0,0,0,0,0,0,0,3,0,0
Trichormus_HINDAK_2001-4,0,0,0,0,0,0,0,0,0,0,0
Leucobacter,0,0,0,0,0,0,0,0,0,0,0
Anoxybacillus,0,0,0,0,0,0,0,0,0,0,0
Aquabacterium,0,0,0,0,20,0,0,0,0,0,0
Rahnella,0,0,0,0,0,0,0,0,0,0,1
Cystobacter,0,0,0,0,0,0,0,0,0,0,0
Imperialibacter,0,0,0,0,0,0,0,0,0,0,0
Scytonema_UTEX_2349,0,0,0,0,0,0,0,0,0,0,0
Dechloromonas,0,0,0,0,0,0,0,0,0,0,0
Anaerovorax,0,0,0,0,0,0,0,0,0,0,0
Saprospira,0,5,0,0,0,0,0,3,0,3,0
Wolinella,0,2,0,0,0,10,2,0,0,2,0
Nodosilinea_PCC-7104,0,0,0,0,0,0,0,0,0,0,0
GWE2-42-42,0,0,0,0,0,0,0,0,0,0,0
Cellulomonas,0,0,0,0,0,0,0,0,0,0,0
Lewinella,0,0,0,0,1,0,0,0,0,0,0
Aquicella,0,0,0,0,0,0,0,0,3,0,0
Rhodoplanes,0,0,0,0,0,0,0,0,0,0,0
Tolypothrix_PCC-7601,0,0,0,0,0,0,0,0,0,0,0
Chitinimonas,0,0,0,0,0,0,0,0,0,0,0
Estrella,0,0,0,0,0,0,0,0,0,0,0
Aetherobacter,0,0,0,0,0,0,0,0,0,0,0
Streptococcus,0,0,0,0,0,0,0,0,0,0,0
Enterococcus,0,0,0,0,0,0,0,0,0,0,0
Roseimicrobium,0,12,0,0,0,0,0,7,0,4,0
Bosea,0,0,0,0,9,0,0,0,0,0,0
Nostoc_PCC-8976,0,0,0,0,0,0,0,0,0,0,0
Saccharofermentans,0,0,0,0,0,0,0,0,0,0,0
Cutibacterium,0,0,0,0,0,0,0,0,0,0,0
Xanthobacter,0,0,0,0,0,0,0,0,0,0,0
Sva0081_sediment_group,0,0,0,0,0,0,0,1,0,3,0
Sphaerotilus,0,0,0,0,1,1,0,0,0,12,0
Azospirillum,0,0,0,0,0,0,0,0,0,0,0
Cephalothrix_SAG_75.79,0,0,0,0,0,0,0,0,0,0,0
Zymophilus,0,0,0,0,0,0,0,0,0,0,0
Planomicrobium,0,0,0,0,0,0,0,0,0,0,0
Crenothrix,0,46,0,0,0,1,0,23,0,3,0
possible_genus_03,0,0,0,0,0,3,0,2,0,0,0
Citrobacter,0,0,0,0,0,0,0,0,0,0,0
Achromatium,0,23,0,0,0,0,0,0,0,3,0
Turneriella,0,0,0,0,0,0,0,0,0,4,0
Uliginosibacterium,0,0,0,2,0,0,0,0,0,0,0
Flexibacter,0,0,0,0,0,0,0,0,0,0,5
Prevotellaceae_Ga6A1_group,0,0,0,0,0,0,0,0,0,0,0
Holophaga,0,0,0,0,0,0,0,0,0,0,0
Haemophilus,0,0,0,0,0,0,0,0,0,0,0
Bergeyella,0,0,0,0,0,0,0,0,0,0,0
Propionibacterium,0,0,0,0,0,0,0,0,0,0,0
Verrucomicrobium,0,0,0,0,0,0,0,0,0,0,0
Amaricoccus,0,0,0,11,0,0,0,0,0,0,0
Tolumonas,0,0,0,0,0,0,0,0,0,0,0
Leuconostoc,0,0,0,0,0,0,0,0,0,0,0
Phycisphaera,0,3,0,0,0,0,0,5,0,0,0
MM2,0,0,0,0,6,0,0,0,0,3,0
Runella,0,0,0,5,0,0,0,0,0,7,0
Solirubrobacter,0,0,0,0,0,0,0,0,0,0,0
endosymbionts8,0,0,0,0,0,0,0,0,0,0,0
Sulfurimonas,0,0,0,0,0,2,0,0,0,0,0
Falsirhodobacter,0,0,0,0,0,0,0,0,0,0,0
Comamonas,0,0,0,0,0,0,0,0,0,0,0
Thiobacillus,0,0,0,0,0,0,0,0,0,0,0
Phenylobacterium,0,0,6,0,0,0,0,0,0,0,0
Nodularia_PCC-9350,0,2,0,3,0,0,0,0,0,0,0
Leptospira,0,5,0,0,0,0,0,0,0,4,0
Arcticibacter,0,0,0,0,0,0,0,0,0,0,0
Gaiella,0,0,0,0,0,0,0,0,0,0,0
Lachnospiraceae_UCG-007,0,0,0,0,0,0,0,0,0,0,0
Saccharopolyspora,0,0,0,0,0,0,0,0,0,0,0
Chthonobacter,0,0,0,6,0,0,0,0,0,0,0
Sulfurovum,0,0,0,0,0,10,0,0,0,0,0
Candidatus_Xiphinematobacter,0,0,0,0,0,0,0,0,0,0,0
Ruminococcaceae_UCG-010,0,0,0,0,0,0,0,0,0,0,0
Sorangium,0,0,0,0,0,0,0,0,0,0,0
SWB02,0,0,0,0,0,0,0,0,0,12,0
Sandaracinus,0,0,0,0,0,0,0,0,0,0,0
Mitsuaria,0,2,0,0,1,0,0,0,0,1,0
JGI_0001001-H03,0,0,0,0,0,0,0,0,0,0,0
Ruminococcaceae_UCG-013,0,0,0,0,0,0,0,0,0,0,0
Sphingobium,0,0,0,0,0,0,0,0,0,5,0
Reyranella,0,0,0,0,7,0,0,0,0,8,0
Oscillochloris,0,0,0,0,0,0,0,0,0,0,0
Pseudanabaena_PCC-7429,0,0,0,0,0,0,0,0,0,0,0
Lysinibacillus,0,0,0,0,0,0,0,0,0,0,0
Acidovorax,0,0,0,0,0,0,0,0,0,0,0
Proteiniphilum,0,0,0,0,0,0,0,0,0,0,0
Pajaroellobacter,0,0,0,0,0,0,0,0,0,3,0
Blvii28_wastewater-sludge_group,0,18,0,0,0,0,0,0,0,0,0
Blastomonas,0,0,0,0,2,0,0,0,0,0,0
Polymorphobacter,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Chlorothrix,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Contendobacter,0,0,0,0,0,0,0,0,0,0,0
Thorsellia,0,0,0,0,0,0,0,0,0,0,0
Aureispira,0,0,0,1,0,0,0,0,0,1,0
Telmatospirillum,0,0,0,0,0,0,0,0,0,0,0
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0,0,0,0,0,0,0,0,0,0,0
Dongia,0,0,0,0,0,0,0,0,0,0,0
Geobacillus,0,0,0,0,0,0,0,0,0,0,0
Serratia,0,0,0,0,0,0,0,0,0,0,0
Nevskia,0,0,0,0,7,0,0,0,0,0,0
Candidatus_Turbabacter,0,0,0,3,0,0,0,0,0,8,0
Leptolyngbya_ANT.L67.1,0,0,0,0,0,0,0,0,0,0,0
Phaeodactylibacter,0,0,0,0,0,0,0,0,0,0,0
Hydrogenophaga,0,0,0,0,0,0,0,0,0,0,0
Erwinia,0,0,0,0,0,0,0,0,0,0,0
Lutispora,0,0,0,0,0,0,0,0,0,0,0
Pseudobacteroides,0,0,0,0,0,0,0,0,0,0,0
Syntrophobacter,0,0,0,0,0,0,0,0,0,0,0
Iamia,0,0,0,0,0,0,0,0,0,0,0
Intestinimonas,0,0,0,0,0,0,0,0,0,0,0
UTBCD1,0,0,0,0,0,0,0,0,0,0,0
Anaerobacterium,0,0,0,0,0,0,0,0,0,0,0
Lawsonella,0,0,0,0,0,0,0,0,0,0,0
Insolitispirillum,0,0,0,0,0,0,0,0,0,0,0
Modicisalibacter,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Hepatincola,4,0,0,0,0,0,0,0,0,0,0
Clostridium_sensu_stricto_12,0,4,0,0,0,0,0,0,0,0,0
Candidatus_Amoebophilus,0,8,0,4,0,0,0,0,0,3,0
Hyphomicrobium,0,0,0,0,0,0,0,0,0,5,0
SM1A02,0,3,0,0,0,0,0,0,0,1,0
Coxiella,0,0,0,0,0,0,0,0,0,2,0
Dysgonomonas,0,0,0,0,1,0,0,0,0,0,0
Methyloglobulus,0,0,0,0,0,0,0,0,0,0,0
Paludibacterium,0,0,0,0,0,0,0,0,0,0,0
Prevotella_1,0,0,0,0,0,0,0,0,0,0,0
Jatrophihabitans,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Competibacter,0,0,0,0,0,0,0,0,0,0,0
Loktanella,0,0,0,0,0,0,0,0,0,0,0
Nocardioides,0,0,0,0,0,0,0,0,0,0,0
Alkalimonas,0,0,0,0,0,0,0,0,0,0,0
Aridibacter,0,0,0,0,0,0,0,0,0,0,0
Spiroplasma,0,0,0,0,0,0,0,0,0,0,0
Sebaldella,0,0,0,0,0,0,0,0,0,0,0
Cosenzaea,0,0,0,0,0,0,0,0,0,0,0
Ignavibacterium,0,0,0,0,0,0,0,0,0,0,0
Veillonella,0,0,0,0,0,0,0,0,0,0,0
Kocuria,0,0,0,0,0,0,0,0,0,0,0
Calothrix_PCC-6303,0,0,0,2,3,0,0,0,0,0,0
Fortiea_PCC-7126,0,0,0,0,3,0,0,0,0,0,0
Candidatus_Paracaedibacter,0,0,0,0,0,0,0,0,0,0,0
Smithella,0,0,0,0,0,0,0,0,0,4,0
Chromatocurvus,0,0,0,0,0,0,0,0,0,5,0
Piscinibacter,0,0,0,0,0,0,0,0,0,3,0
Snowella_0TU37S04,0,0,0,0,0,0,0,0,0,2,0
Chloronema,0,0,0,0,0,0,0,0,0,3,0
Candidatus_Berkiella,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Solibacter,0,0,0,0,0,0,0,0,0,0,0
Mucilaginibacter,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus,0,0,0,0,0,0,0,0,0,0,0
Sh765B-TzT-35,0,0,0,0,0,0,0,0,0,0,0
Tepidicella,0,0,0,0,0,0,0,0,0,0,0
Paenibacillus,0,0,0,0,0,0,0,0,0,0,0
Actinomyces,0,0,0,0,0,0,0,0,0,0,0
Syntrophus,0,0,0,0,0,0,0,0,0,3,0
Mesorhizobium,0,0,0,0,0,0,0,0,0,0,0
Methylibium,0,0,0,0,0,0,0,0,0,0,0
Caedibacter,0,0,0,0,0,0,0,0,0,0,0
Crocinitomix,0,0,0,0,0,0,0,0,0,0,0
Roseburia,0,0,0,0,0,0,0,0,0,0,0
Breznakia,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Endoecteinascidia,0,0,0,0,0,0,0,0,0,0,0
Ammoniphilus,0,0,0,0,0,0,0,0,0,0,0
Lautropia,0,0,0,0,0,0,0,0,0,0,0
Nostoc_PCC-73102,0,0,0,1,0,0,0,0,0,1,0
Sphaerospermopsis_BCCUSP55,0,0,0,0,4,0,0,0,0,0,0
FukuN18_freshwater_group,0,0,0,0,0,0,0,0,0,0,0
Ramlibacter,0,0,0,0,0,0,0,0,3,0,0
Sva0996_marine_group,0,0,0,0,0,0,0,0,0,2,0
Candidatus_Protochlamydia,0,0,0,0,0,0,0,0,0,1,0
Candidatus_Xenohaliotis,0,0,0,0,0,0,0,0,0,4,0
Flavihumibacter,0,0,0,0,0,0,0,0,0,0,0
Sphingoaurantiacus,0,0,0,0,0,0,0,0,0,0,0
Subgroup_10,0,0,0,0,0,0,0,0,0,0,0
Ga0074140,0,0,0,0,0,0,0,0,0,0,0
Kamptonema_PCC-6407,0,0,0,0,0,0,0,0,0,0,0
Calothrix_KVSF5,0,0,0,0,0,0,0,0,0,0,0
MM1,0,0,1,0,2,0,0,0,0,0,0
Ohtaekwangia,0,0,0,0,0,0,0,0,5,0,0
Ruminiclostridium,0,0,0,0,0,0,0,0,0,4,0
Candidatus_Ovatusbacter,0,0,0,0,0,0,0,0,0,2,0
Christensenellaceae_R-7_group,0,2,0,0,0,0,0,0,0,2,0
Micromonospora,0,0,0,0,0,0,0,0,0,0,0
Bryobacter,0,0,0,0,0,0,0,0,0,0,0
Trichodesmium_IMS101,0,0,0,0,0,0,0,0,0,0,0
Parablastomonas,0,0,0,0,0,0,0,0,0,0,0
Prevotellaceae_UCG-001,0,0,0,0,0,0,0,0,0,0,0
Herbinix,0,0,0,0,0,0,0,0,0,0,0
M2PT2-76_termite_group,0,0,0,0,0,0,0,0,0,0,0
Hydrogenispora,0,0,0,0,0,0,0,0,0,0,0
