Genus,NP-008-511-714-1F_filt.fastq.gz,NP-009-513-714-1F_filt.fastq.gz,NP-010-515-714-1F_filt.fastq.gz,NP-011-516-715-1F_filt.fastq.gz,NP-014-520-715-1F_filt.fastq.gz,NP-015-521-715-1F_filt.fastq.gz,NP-017-502-715-1F_filt.fastq.gz,NP-018-503-715-1F_filt.fastq.gz,NP-019-505-715-1F_filt.fastq.gz,NP-022-508-715-1F_filt.fastq.gz,NP-025-513-716-1F_filt.fastq.gz,NP-026-515-716-1F_filt.fastq.gz,NP-027-516-716-1F_filt.fastq.gz,NP-034-503-718-1F_filt.fastq.gz,NP-035-505-718-1F_filt.fastq.gz
Lacihabitans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteriovorax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brevundimonas,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Spirochaeta_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emticicia,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fodinicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corynebacterium_1,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
Bacillus,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Roseomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiovirga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lamprocystis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyloparacoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Leptothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarcina,0,22,0,2,0,22,0,0,0,0,5,7,0,0,0
Rubrivivax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemmatimonas,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Accumulibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planktothrix_NIVA-CYA_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dechlorobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haliscomenobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chitinibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pantoea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Undibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tetrasphaera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhodobacter,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niveibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paeniclostridium,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0
possible_genus_06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flavisolibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methylosoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypnocyclicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cytophaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anabaena_PCC-7122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nordella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peredibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ellin6067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paenirhodobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massilia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudoflavitalea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cloacibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luteitalea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capnocytophaga,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xenophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhizobacter,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chryseobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prosthecobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lacunisphaera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sandarakinorhabdus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhodoferax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Aquirestis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sulfuritalea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OM27_clade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glaciimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erysipelothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fusobacterium,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paludibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methylobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pLW-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legionella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinagarivorans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Opitutus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuspidothrix_LMECYA_163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Treponema_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salinispira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xylophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferribacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parafilimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limnobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptomyces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADurb.Bin063-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haematospirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asticcacaulis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSBL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemmobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FukuN57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cephaloticoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methylomagnum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ochrobactrum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caulobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alphaI_cluster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methylophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haliangium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porphyromonas,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Psychroglaciecola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tepidimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dickeya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desulfobulbus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iodobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thioflavicoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deefgea,24,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Exiguobacterium,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Chloroploca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium_sensu_stricto_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methylocystis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
966-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lentimicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Novosphingobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niveispirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Propionivibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlorobaculum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halomonas,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0
Inhella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rothia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aquimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hirschia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paucibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paracoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
Yonghaparkia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SU2_symbiont_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methylovulum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enhydrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaselicystis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ciceribacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desulfovibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taeseokella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralstonia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Desulforhopalus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paludibaculum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polyangium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphingobacterium,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Hafnia-Obesumbacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duganella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWE2-31-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conexibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brevifollis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stenotrophomonas,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0
Coprococcus_1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
Alloprevotella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cellvibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nostoc_PCC-7524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ercella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetobacteroides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BSV13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parabacteroides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerosporobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Lumbricincola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Treponema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tropicimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Finniella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermoflexibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roseimarinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UKL13-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trichormus_HINDAK_2001-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leucobacter,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anoxybacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aquabacterium,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rahnella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cystobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imperialibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scytonema_UTEX_2349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dechloromonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerovorax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saprospira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wolinella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nodosilinea_PCC-7104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWE2-42-42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cellulomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewinella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aquicella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhodoplanes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tolypothrix_PCC-7601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chitinimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estrella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aetherobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roseimicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nostoc_PCC-8976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saccharofermentans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cutibacterium,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0
Xanthobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sva0081_sediment_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphaerotilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azospirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cephalothrix_SAG_75.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zymophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planomicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crenothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
possible_genus_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citrobacter,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Achromatium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turneriella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uliginosibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flexibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotellaceae_Ga6A1_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holophaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haemophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bergeyella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Propionibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verrucomicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amaricoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tolumonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leuconostoc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phycisphaera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Runella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solirubrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
endosymbionts8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sulfurimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falsirhodobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comamonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phenylobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nodularia_PCC-9350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptospira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arcticibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lachnospiraceae_UCG-007,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saccharopolyspora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chthonobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sulfurovum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Xiphinematobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruminococcaceae_UCG-010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sorangium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWB02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sandaracinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitsuaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JGI_0001001-H03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruminococcaceae_UCG-013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphingobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reyranella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oscillochloris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudanabaena_PCC-7429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lysinibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidovorax,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0
Proteiniphilum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pajaroellobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blvii28_wastewater-sludge_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blastomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polymorphobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Chlorothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Contendobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thorsellia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aureispira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Telmatospirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dongia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
