Genus,H2O-052-506-719-1F_filt.fastq.gz,H2O-053-507-719-1F_filt.fastq.gz,H2O-054-508-719-1F_filt.fastq.gz,H2O-055-510-719-1F_filt.fastq.gz,H2O-056-511-720-1F_filt.fastq.gz,H2O-057-513-720-1F_filt.fastq.gz,H2O-058-515-720-1F_filt.fastq.gz,H2O-059-516-720-1F_filt.fastq.gz,H2O-060-517-720-1F_filt.fastq.gz,H2O-061-521-720-1F_filt.fastq.gz,H2O-062-520-720-1F_filt.fastq.gz
Candidatus_Aquiluna,65,52,62,51,22,25,24,15,30,35,20
Methylocaldum,170,252,13,14,0,4,5,26,66,18,10
Silvanigrella,9,7,0,0,0,0,0,0,0,2,0
Tabrizicola,270,299,31,48,29,41,40,67,212,73,113
Luteolibacter,157,99,16,15,124,117,95,36,188,313,253
Pseudorhodobacter,25,9,18,19,41,43,59,44,23,31,23
C39,0,0,0,0,2,5,5,0,4,2,9
Candidatus_Planktoluna,13,16,8,4,32,30,52,27,18,22,12
Thiodictyon,21,31,1,0,5,7,7,10,96,6,16
Chromobacterium,0,0,1,0,0,0,0,0,0,0,0
Macellibacteroides,0,0,0,0,0,0,0,0,0,0,0
Curvibacter,19,22,17,9,16,17,10,15,34,25,13
Sphingomonas,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Methylospira,46,62,6,4,0,1,0,8,5,0,0
Rubellimicrobium,46,28,1,0,3,7,0,48,25,5,8
Z-35,4,0,1,0,0,4,1,4,7,3,0
Methylomonas,37,27,5,2,15,15,5,0,8,5,6
Epulopiscium,0,2,0,0,0,0,0,0,0,0,0
Aphanizomenon_NIES81,4,1,0,0,0,0,0,0,0,0,3
Ideonella,50,50,10,5,0,4,4,2,20,3,4
Silanimonas,3,0,0,0,1,0,0,0,12,3,12
IMCC26134,13,15,0,0,0,0,0,1,21,5,3
Acinetobacter,0,0,0,0,0,0,0,1,0,0,0
Gloeotrichia_PYH6,16,9,3,13,0,7,0,5,91,19,28
Rheinheimera,0,29,1,2,6,0,0,0,1,10,7
GKS98_freshwater_group,5,0,5,12,23,21,16,7,10,9,10
Terrimonas,28,26,3,3,0,7,3,18,31,1,2
CL500-29_marine_group,21,7,4,9,48,37,41,19,22,19,29
Algoriphagus,0,0,0,0,8,0,2,3,66,38,36
Anaeromyxobacter,98,85,3,10,2,20,5,38,14,2,0
Chthoniobacter,66,56,0,0,0,0,0,3,6,1,1
Porphyrobacter,20,1,2,0,0,2,0,0,4,4,10
Dinghuibacter,39,24,1,0,107,137,81,64,21,22,33
Thiocapsa,0,5,0,0,0,0,0,0,4,0,3
Vogesella,0,15,0,1,1,3,0,1,0,7,2
Terrimicrobium,22,20,0,0,0,2,0,9,11,4,6
Pelomonas,24,38,0,1,0,0,0,1,4,3,8
Candidatus_Symbiobacter,2,3,2,1,3,6,6,11,8,2,3
Mycobacterium,5,5,0,7,5,0,7,10,0,13,21
Geobacter,64,81,9,12,0,17,14,79,35,10,15
Herbaspirillum,9,3,0,14,13,15,7,3,0,5,9
Phormidium_IAM_M-71,50,90,0,0,0,1,0,7,0,0,0
Ferruginibacter,27,26,8,0,4,10,5,27,19,3,5
OLB12,9,12,0,1,0,3,0,7,18,3,6
Methylorosula,11,0,0,0,4,8,5,3,0,0,0
Oligoflexus,11,18,1,3,0,1,0,2,7,2,0
Methylobacter,27,62,18,25,50,67,40,8,0,9,0
WCHB1-32,7,8,0,0,2,9,3,12,47,4,5
Perlucidibaca,0,0,0,0,0,0,0,0,0,0,0
Arenimonas,49,60,0,0,3,0,2,6,2,0,7
Neisseria,0,0,0,0,0,0,0,0,0,0,0
Arcobacter,1,0,0,0,1,0,0,4,0,0,0
Tibeticola,3,12,2,1,13,11,3,1,0,7,0
Shewanella,0,32,3,0,2,1,0,0,4,0,0
Lacibacter,0,0,0,0,0,0,1,3,0,0,0
Nostoc_PCC-7107,8,3,1,0,0,0,0,0,0,0,0
Anabaena_XPORK15F,0,0,0,0,0,0,0,1,0,1,3
Turicibacter,0,0,0,0,0,0,0,0,0,0,0
Bdellovibrio,79,81,22,32,8,11,10,0,6,8,3
Candidatus_Bacilloplasma,0,0,0,0,0,0,0,0,0,0,0
Azospira,13,21,2,3,0,0,0,0,0,0,0
Chlorobium,5,11,0,4,0,6,3,5,41,2,4
Pseudomonas,0,0,0,0,0,0,0,0,0,1,0
Pedobacter,0,0,0,0,0,0,0,0,0,0,0
RBG-16-49-21,0,0,0,0,0,0,0,0,8,0,0
Alsobacter,15,15,3,0,2,0,3,0,2,3,0
Cyanobium_PCC-6307,23,15,0,5,1,0,0,0,4,2,4
Anabaena_PCC-7108,0,0,0,0,0,0,0,0,0,0,0
Hymenobacter,0,0,0,0,0,0,0,0,0,0,0
Geothrix,14,4,0,0,0,2,2,5,7,0,0
Parasediminibacterium,22,6,14,11,3,1,0,0,7,8,13
Nitratireductor,0,0,0,0,0,2,0,0,2,4,2
Arcicella,9,1,7,6,4,4,2,7,0,1,10
Cellulosilyticum,0,0,0,0,0,0,1,0,0,0,0
Lacihabitans,11,5,0,0,0,0,0,4,7,4,0
Bacteriovorax,0,9,2,3,2,7,6,12,4,6,3
Brevundimonas,0,8,0,0,0,0,1,3,0,0,0
Spirochaeta_2,25,56,0,0,0,10,0,38,13,1,0
Emticicia,4,3,0,0,3,1,2,5,13,6,7
Fodinicola,0,4,0,0,0,0,0,2,2,0,0
Corynebacterium_1,0,0,0,0,0,0,0,0,0,0,0
Bacillus,0,1,0,0,0,0,0,0,0,0,1
Roseomonas,4,26,5,6,0,0,0,0,0,0,3
Lactobacillus,0,0,0,0,0,0,0,0,0,0,0
Thiovirga,0,0,0,0,0,4,3,27,9,0,3
Lamprocystis,2,1,0,0,1,4,0,4,8,2,1
Methyloparacoccus,0,0,0,0,0,0,0,0,14,15,8
Leptothrix,83,51,1,2,4,4,2,5,4,1,3
Sarcina,0,0,0,0,0,0,0,0,0,0,0
Rubrivivax,16,13,0,6,4,0,0,0,1,1,0
Gemmatimonas,5,6,1,0,0,0,0,0,10,3,5
Candidatus_Accumulibacter,3,0,0,0,0,0,1,4,8,0,0
Planktothrix_NIVA-CYA_15,39,67,0,0,1,0,0,1,0,0,0
Dechlorobacter,4,0,0,0,0,0,0,1,0,2,0
Haliscomenobacter,27,20,4,4,0,1,3,4,7,4,3
Chitinibacter,0,0,0,0,0,0,0,0,0,0,1
Pantoea,0,0,0,0,0,0,0,0,0,0,0
Undibacterium,0,10,0,0,1,0,0,0,5,2,0
Tetrasphaera,2,0,0,0,0,0,0,0,0,0,0
Rhodobacter,1,0,0,0,0,2,0,1,11,1,1
Niveibacterium,0,0,0,0,0,0,0,0,1,0,0
Paeniclostridium,0,0,0,0,0,0,0,0,0,0,0
possible_genus_06,0,0,0,0,0,0,0,7,0,1,0
Flavisolibacter,0,0,0,0,0,0,0,0,0,0,0
Methylosoma,3,0,0,0,0,6,5,0,8,3,7
Hypnocyclicus,2,8,0,0,0,2,1,4,0,0,1
Cytophaga,17,15,0,0,1,2,0,1,16,3,7
Anabaena_PCC-7122,45,11,0,0,0,0,0,0,1,0,0
Nordella,2,0,0,0,0,0,1,1,2,1,0
Peredibacter,28,19,1,0,3,0,3,2,0,8,17
Ellin6067,21,26,0,0,0,0,0,0,0,0,0
Paenirhodobacter,0,0,0,0,0,0,0,0,0,0,0
Massilia,0,0,0,0,0,0,0,0,0,0,0
Pseudoflavitalea,0,0,0,0,0,0,0,1,1,0,0
Cloacibacterium,0,0,0,0,0,0,0,0,0,0,0
Luteitalea,0,3,0,0,0,0,0,0,0,0,0
Capnocytophaga,0,0,0,0,0,0,0,0,0,0,0
Xenophilus,2,0,1,0,4,0,0,0,0,0,0
Rhizobacter,0,3,0,0,0,0,0,1,7,6,1
Chryseobacterium,0,0,0,0,0,0,0,0,0,22,0
Prosthecobacter,2,0,0,0,0,2,3,0,8,9,13
Lacunisphaera,32,18,0,0,0,3,0,7,2,0,0
Sandarakinorhabdus,1,0,0,0,0,0,0,0,0,1,6
Rhodoferax,28,35,7,9,6,8,6,8,15,6,3
Candidatus_Aquirestis,0,0,0,0,0,0,0,0,0,0,0
Sulfuritalea,9,12,0,0,0,2,1,0,0,0,0
OM27_clade,54,41,2,1,2,8,9,0,0,4,1
Glaciimonas,4,41,0,0,0,0,0,0,0,0,0
Erysipelothrix,0,0,0,0,0,0,0,0,0,0,1
Fusobacterium,0,0,0,0,0,0,0,0,0,0,0
Paludibacter,14,17,4,4,6,10,4,46,44,9,5
Acidibacter,18,14,0,0,0,0,0,0,1,1,0
Methylobacillus,25,12,0,0,0,0,0,0,0,0,0
pLW-20,8,0,0,0,0,0,0,0,6,1,0
Legionella,8,22,11,10,8,4,4,0,3,1,0
Marinagarivorans,0,0,0,0,0,0,0,0,0,0,0
Opitutus,23,18,0,0,0,0,0,0,0,0,0
Cuspidothrix_LMECYA_163,0,0,0,0,0,0,0,0,0,0,0
Treponema_2,0,0,0,0,0,0,0,4,0,0,0
Salinispira,9,3,0,0,0,0,2,9,4,0,0
Xylophilus,0,3,1,0,0,0,0,0,0,0,0
Ferribacterium,0,6,0,0,0,0,1,0,0,0,0
Parafilimonas,6,6,0,0,0,2,0,15,4,0,0
Limnobacter,0,0,0,0,0,0,0,0,0,0,0
Streptomyces,0,0,0,0,0,0,0,0,0,0,0
ADurb.Bin063-1,0,0,0,0,0,0,0,0,0,0,0
Haematospirillum,0,0,2,0,0,0,3,1,0,0,0
Asticcacaulis,36,13,5,2,0,1,2,3,0,1,0
MSBL3,0,0,0,0,0,0,0,0,0,0,0
Gemmobacter,0,0,0,0,0,0,0,0,0,0,1
LD29,3,3,0,0,0,0,0,0,0,0,0
FukuN57,0,0,0,0,0,0,0,0,0,0,0
Cephaloticoccus,24,8,2,4,0,0,0,2,6,0,2
Methylomagnum,0,14,2,0,0,0,0,0,2,0,0
Ochrobactrum,0,0,0,0,0,0,0,0,0,0,0
Caulobacter,4,9,0,0,0,0,0,2,4,0,0
alphaI_cluster,7,4,0,0,0,0,0,0,0,0,4
Methylophilus,0,0,0,0,0,0,0,0,0,0,0
Haliangium,31,12,0,1,0,0,0,6,10,0,0
Porphyromonas,0,0,0,0,0,0,0,0,0,0,0
Psychroglaciecola,0,0,0,0,0,0,0,0,0,0,0
Tepidimonas,0,0,0,0,0,0,0,0,0,0,0
Dickeya,0,0,0,0,0,0,0,0,0,0,0
Desulfobulbus,0,0,0,0,0,0,0,0,6,0,1
Iodobacter,0,33,0,0,0,0,0,0,0,0,0
Thioflavicoccus,0,2,0,0,0,0,0,0,0,0,0
Deefgea,3,0,0,0,0,0,0,0,0,0,0
Exiguobacterium,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Chloroploca,0,0,0,0,0,0,0,0,1,0,0
Clostridium_sensu_stricto_9,0,0,0,0,0,0,0,0,0,0,0
Methylocystis,0,0,0,0,0,0,0,0,0,0,0
966-1,4,4,0,0,0,0,0,0,1,0,1
Lentimicrobium,0,0,0,0,0,0,0,1,4,0,1
Novosphingobium,10,0,0,0,0,1,2,0,0,1,2
Niveispirillum,0,0,0,0,0,0,0,0,0,0,0
Propionivibrio,2,0,0,0,0,0,0,0,0,0,0
Chlorobaculum,0,0,0,0,0,0,0,0,0,0,0
Halomonas,3,0,0,0,0,0,0,0,0,0,0
Inhella,0,0,0,0,0,0,0,0,0,0,0
Rothia,0,0,0,0,0,0,0,0,0,0,0
Aquimonas,0,0,0,0,0,0,0,0,0,0,0
Hirschia,6,2,2,0,0,4,0,0,0,0,1
Paucibacter,9,11,0,2,0,0,0,0,0,2,0
Paracoccus,0,0,0,0,0,2,0,7,0,2,0
Yonghaparkia,0,0,0,0,0,0,0,0,0,1,0
SU2_symbiont_group,20,3,0,0,0,0,0,0,5,1,5
Methylovulum,18,8,4,4,0,1,0,0,0,0,0
Enhydrobacter,0,0,0,0,0,0,0,0,0,0,0
Phaselicystis,3,5,0,0,0,0,0,1,1,0,0
Ciceribacter,4,0,0,0,0,0,0,0,0,0,0
Desulfovibrio,1,0,0,0,0,0,0,0,0,4,0
Taeseokella,3,0,2,1,1,0,2,1,1,1,0
Ralstonia,0,0,0,0,0,0,0,0,0,0,0
Desulforhopalus,0,0,0,0,0,0,0,7,0,0,0
Paludibaculum,7,6,0,0,0,0,0,1,6,0,0
Polyangium,32,19,3,0,0,0,0,0,6,0,0
Sphingobacterium,0,0,0,0,0,0,0,0,0,0,0
Hafnia-Obesumbacterium,0,0,0,0,0,0,0,0,0,0,0
Duganella,0,9,0,0,0,0,0,0,0,0,0
GWE2-31-10,0,0,0,0,0,0,0,0,0,0,0
Conexibacter,0,0,0,0,0,0,1,0,0,0,0
Brevifollis,3,0,0,0,0,0,0,0,0,0,0
Stenotrophomonas,0,0,0,0,0,0,0,0,0,0,0
Coprococcus_1,0,0,0,0,0,0,0,0,0,0,0
Alloprevotella,0,0,0,0,0,0,0,0,0,0,0
Cellvibrio,5,0,0,0,0,0,0,0,0,0,0
Nostoc_PCC-7524,0,0,0,0,0,0,0,0,0,0,0
Ercella,0,0,0,0,0,0,0,0,0,0,0
Acetobacteroides,0,0,0,0,0,0,0,0,0,0,0
BSV13,8,6,0,0,1,0,0,8,22,1,1
Parabacteroides,0,0,0,0,0,0,0,0,0,0,0
Anaerosporobacter,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Lumbricincola,0,0,0,0,3,4,3,4,0,1,0
Treponema,0,0,0,0,0,0,0,0,0,0,0
Tropicimonas,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Finniella,4,0,0,0,0,0,0,0,0,3,4
Thermoflexibacter,8,0,0,0,0,0,0,0,0,0,0
Roseimarinus,0,0,0,0,0,0,0,2,0,0,0
UKL13-1,1,0,1,4,0,0,0,0,0,0,0
Bacteroides,1,0,0,0,0,1,0,0,0,0,0
Prevotella_9,0,0,0,0,0,0,0,0,0,0,0
Trichormus_HINDAK_2001-4,0,0,0,0,0,0,0,0,0,0,0
Leucobacter,0,0,0,0,0,0,0,0,0,0,0
Anoxybacillus,0,0,0,0,0,0,0,0,0,0,0
Aquabacterium,0,0,0,0,0,0,0,0,0,0,0
Rahnella,0,0,0,0,0,0,0,0,0,0,0
Cystobacter,0,2,0,0,0,0,0,0,0,0,0
Imperialibacter,19,12,0,0,0,0,0,0,0,0,0
Scytonema_UTEX_2349,0,19,0,0,0,0,0,0,0,0,0
Dechloromonas,0,0,0,0,0,0,0,0,0,0,0
Anaerovorax,0,0,0,0,0,0,0,0,0,0,0
Saprospira,2,4,0,0,0,0,0,0,0,1,0
Wolinella,0,0,0,0,0,1,0,1,2,0,0
Nodosilinea_PCC-7104,5,6,0,0,0,0,0,0,0,0,0
GWE2-42-42,0,0,0,0,0,0,0,0,2,0,0
Cellulomonas,0,0,0,0,0,0,0,0,0,0,0
Lewinella,1,1,0,0,0,0,0,0,0,0,0
Aquicella,2,10,0,0,0,0,0,0,0,0,0
Rhodoplanes,0,0,0,0,0,0,0,0,0,0,0
Tolypothrix_PCC-7601,4,4,0,0,0,0,0,0,2,0,0
Chitinimonas,0,0,0,0,0,0,0,0,0,0,0
Estrella,0,0,0,0,0,0,0,0,7,0,5
Aetherobacter,0,0,0,0,0,0,0,0,0,0,0
Streptococcus,0,0,0,0,0,0,0,0,0,0,0
Enterococcus,0,0,0,0,0,0,0,0,0,0,0
Roseimicrobium,0,0,0,0,0,0,0,0,0,0,0
Bosea,2,0,0,0,0,0,0,0,4,0,0
Nostoc_PCC-8976,0,2,0,0,0,0,0,0,0,1,3
Saccharofermentans,0,0,0,0,0,0,0,0,0,0,0
Cutibacterium,0,0,0,0,0,0,0,0,0,0,0
Xanthobacter,0,0,0,0,0,0,0,0,0,0,0
Sva0081_sediment_group,0,0,0,0,0,0,0,0,1,0,0
Sphaerotilus,1,1,0,0,0,0,0,0,0,2,1
Azospirillum,0,0,0,0,0,0,0,5,0,0,0
Cephalothrix_SAG_75.79,4,4,0,0,0,0,0,4,3,0,0
Zymophilus,0,0,0,0,0,0,0,0,0,0,0
Planomicrobium,0,0,0,0,0,0,0,0,0,0,0
Crenothrix,0,0,0,0,0,0,2,0,0,0,0
possible_genus_03,0,0,0,0,0,0,0,0,0,0,0
Citrobacter,0,0,0,0,0,0,0,0,0,0,0
Achromatium,0,0,0,0,0,0,0,0,0,0,0
Turneriella,0,2,0,0,0,0,0,0,1,0,0
Uliginosibacterium,4,11,0,0,0,0,0,1,1,0,0
Flexibacter,0,0,0,0,0,0,0,0,0,0,0
Prevotellaceae_Ga6A1_group,0,0,0,0,0,0,0,0,0,0,0
Holophaga,0,0,0,0,0,0,0,0,0,0,0
Haemophilus,0,0,0,0,0,0,0,0,0,0,0
Bergeyella,0,0,0,0,0,0,0,0,0,0,0
Propionibacterium,0,0,0,0,0,0,0,0,0,0,0
Verrucomicrobium,7,0,0,0,0,0,0,0,0,0,0
Amaricoccus,0,12,0,0,0,0,0,0,0,0,0
Tolumonas,0,0,0,0,0,0,0,0,0,0,0
Leuconostoc,0,0,0,0,0,0,0,0,0,0,0
Phycisphaera,0,0,0,0,0,0,0,0,0,0,0
MM2,0,0,0,0,0,0,0,0,0,0,0
Runella,2,4,0,0,0,0,0,0,0,0,0
Solirubrobacter,0,0,0,0,0,0,0,0,0,0,0
endosymbionts8,0,0,0,0,0,0,0,0,0,0,0
Sulfurimonas,0,0,0,0,0,0,4,5,0,0,0
Falsirhodobacter,0,0,0,0,0,0,0,0,0,0,0
Comamonas,0,0,0,0,0,0,0,0,0,0,0
Thiobacillus,0,0,0,0,0,0,0,0,0,0,0
Phenylobacterium,0,0,0,0,0,0,3,0,0,0,0
Nodularia_PCC-9350,0,0,0,0,0,0,0,0,0,0,0
Leptospira,5,5,0,3,0,1,0,1,1,0,0
Arcticibacter,0,0,0,0,0,0,0,0,0,0,0
Gaiella,0,0,0,0,0,0,0,0,0,0,0
Lachnospiraceae_UCG-007,0,0,0,0,0,0,0,0,0,0,0
Saccharopolyspora,0,0,0,0,0,0,0,0,0,0,0
Chthonobacter,0,0,0,0,0,0,0,0,0,0,0
Sulfurovum,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Xiphinematobacter,0,5,0,0,0,0,0,0,0,0,0
Ruminococcaceae_UCG-010,0,0,0,0,0,0,0,0,0,0,0
Sorangium,0,0,0,0,0,0,0,0,0,0,0
SWB02,6,6,0,0,0,0,0,0,8,0,0
Sandaracinus,2,2,0,0,0,0,0,0,0,0,0
Mitsuaria,0,10,1,0,0,0,0,0,0,0,1
JGI_0001001-H03,0,0,0,0,0,0,0,0,0,0,0
Ruminococcaceae_UCG-013,0,0,0,0,0,0,0,0,0,0,0
Sphingobium,0,0,0,0,0,0,0,0,0,0,0
Reyranella,0,0,0,0,0,0,0,0,0,0,0
Oscillochloris,8,0,0,0,0,0,0,0,5,0,0
Pseudanabaena_PCC-7429,0,0,0,0,0,0,0,0,0,0,0
Lysinibacillus,0,0,0,0,0,0,0,0,0,0,0
Acidovorax,0,0,0,0,0,0,0,0,0,0,0
Proteiniphilum,0,0,0,0,0,0,0,0,0,0,0
Pajaroellobacter,0,0,0,0,0,0,0,0,0,0,0
Blvii28_wastewater-sludge_group,0,0,0,0,0,0,0,0,0,0,0
Blastomonas,0,0,0,0,0,0,0,0,0,0,0
Polymorphobacter,7,0,0,0,0,0,0,0,0,0,0
Candidatus_Chlorothrix,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Contendobacter,0,0,0,0,0,0,0,0,0,0,0
Thorsellia,0,0,0,0,0,0,0,0,0,0,0
Aureispira,0,0,0,0,0,0,0,0,0,0,0
Telmatospirillum,0,0,0,0,0,0,0,0,0,0,0
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0,0,0,0,0,0,0,0,0,0,0
Dongia,0,0,0,0,0,0,0,0,0,0,0
Geobacillus,0,0,0,0,0,0,0,0,0,0,0
Serratia,0,0,0,0,0,0,0,0,0,0,0
Nevskia,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Turbabacter,0,2,0,0,0,0,0,0,0,0,0
Leptolyngbya_ANT.L67.1,6,6,0,0,0,0,0,0,0,0,0
Phaeodactylibacter,5,4,0,0,0,0,0,0,0,0,0
Hydrogenophaga,0,0,0,0,0,0,0,0,1,0,0
Erwinia,0,0,0,0,0,0,0,0,0,0,0
Lutispora,0,0,0,0,0,0,0,0,0,0,0
Pseudobacteroides,0,0,0,0,0,0,0,0,0,0,0
Syntrophobacter,0,0,0,0,0,0,0,0,0,0,0
Iamia,0,0,0,0,0,0,0,0,0,0,0
Intestinimonas,0,0,0,0,0,0,0,0,0,0,0
UTBCD1,0,0,0,0,0,0,0,0,0,0,0
Anaerobacterium,0,0,0,0,0,0,0,0,0,0,0
Lawsonella,0,0,0,0,0,0,0,0,0,0,0
Insolitispirillum,0,0,0,0,0,0,0,0,0,0,0
Modicisalibacter,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Hepatincola,0,0,0,0,0,0,0,0,0,0,0
Clostridium_sensu_stricto_12,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Amoebophilus,0,0,0,0,0,0,0,0,0,0,0
Hyphomicrobium,0,0,0,0,0,0,0,0,0,0,0
SM1A02,14,7,0,0,0,0,0,0,0,0,0
Coxiella,5,1,0,0,0,0,0,0,0,0,0
Dysgonomonas,0,0,0,0,0,0,0,3,0,0,0
Methyloglobulus,0,0,0,0,0,0,0,0,0,0,0
Paludibacterium,0,0,0,0,0,0,0,0,0,0,0
Prevotella_1,0,0,0,0,0,0,0,0,0,0,0
Jatrophihabitans,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Competibacter,0,0,0,0,0,0,0,0,0,0,0
Loktanella,0,0,0,0,0,0,0,0,0,0,0
Nocardioides,0,0,0,0,0,0,0,4,0,0,0
Alkalimonas,0,0,0,0,0,0,0,0,0,0,1
Aridibacter,6,0,0,0,0,0,0,0,0,0,0
Spiroplasma,0,0,0,0,0,0,0,0,0,0,0
Sebaldella,0,0,0,0,0,0,0,0,0,0,0
Cosenzaea,0,0,0,0,0,0,0,0,0,0,0
Ignavibacterium,0,0,0,0,0,0,0,0,0,0,0
Veillonella,0,0,0,0,0,0,0,0,0,0,0
Kocuria,0,0,0,0,0,0,0,0,0,0,0
Calothrix_PCC-6303,0,0,0,0,0,0,0,0,0,0,0
Fortiea_PCC-7126,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Paracaedibacter,0,0,0,0,0,0,0,0,0,0,0
Smithella,0,0,0,0,0,0,0,0,0,0,0
Chromatocurvus,0,0,0,0,0,0,0,0,0,0,0
Piscinibacter,0,0,0,0,0,0,0,0,0,0,0
Snowella_0TU37S04,0,0,0,0,0,0,0,0,0,0,0
Chloronema,5,0,0,0,0,0,0,0,6,0,0
Candidatus_Berkiella,0,1,0,0,0,0,0,0,0,0,0
Candidatus_Solibacter,0,0,0,0,0,0,0,0,0,0,0
Mucilaginibacter,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus,0,0,0,0,0,0,0,0,0,0,0
Sh765B-TzT-35,0,0,0,0,0,0,0,0,0,0,0
Tepidicella,0,0,0,0,0,0,0,0,0,0,0
Paenibacillus,0,0,0,0,0,0,0,0,0,0,0
Actinomyces,0,0,0,0,0,0,0,0,0,0,0
Syntrophus,3,0,0,0,0,0,0,0,0,0,0
Mesorhizobium,0,2,0,0,0,0,0,0,0,0,0
Methylibium,0,2,0,0,0,0,0,0,0,0,0
Caedibacter,0,0,0,0,0,0,0,0,0,0,0
Crocinitomix,0,0,0,0,0,0,0,0,0,0,0
Roseburia,0,0,0,0,0,0,0,0,0,0,0
Breznakia,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Endoecteinascidia,0,0,0,0,0,0,0,0,0,0,0
Ammoniphilus,0,0,0,0,0,0,0,0,0,0,0
Lautropia,0,0,0,0,0,0,0,0,0,0,0
Nostoc_PCC-73102,0,0,0,0,0,0,0,0,0,0,0
Sphaerospermopsis_BCCUSP55,0,0,0,0,0,0,0,0,0,0,0
FukuN18_freshwater_group,0,0,0,0,0,0,0,0,0,0,0
Ramlibacter,0,0,0,0,0,0,0,0,0,0,0
Sva0996_marine_group,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Protochlamydia,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Xenohaliotis,0,0,0,0,0,0,0,0,0,0,0
Flavihumibacter,3,0,0,0,0,0,0,0,0,0,0
Sphingoaurantiacus,3,0,0,0,0,0,0,0,0,0,0
Subgroup_10,3,0,0,0,0,0,0,0,0,0,0
Ga0074140,0,0,0,0,0,0,0,0,0,0,0
Kamptonema_PCC-6407,0,0,0,0,0,0,0,0,0,0,0
Calothrix_KVSF5,0,0,0,0,0,0,0,0,0,0,0
MM1,0,0,0,0,0,0,0,0,0,0,0
Ohtaekwangia,0,0,0,0,0,0,0,0,0,0,0
Ruminiclostridium,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Ovatusbacter,0,0,0,0,0,0,0,0,0,0,0
Christensenellaceae_R-7_group,0,0,0,0,0,0,0,3,0,0,0
Micromonospora,4,0,0,0,0,0,0,0,0,0,0
Bryobacter,0,5,0,0,0,0,0,0,0,0,0
Trichodesmium_IMS101,0,3,0,0,0,0,0,0,0,0,0
Parablastomonas,0,0,0,0,0,0,2,0,0,0,0
Prevotellaceae_UCG-001,0,0,0,0,0,0,0,3,0,0,0
Herbinix,0,0,0,0,0,0,0,1,0,0,0
