Sample,Abundance,Location,Genus
H2O-046-520-719-1F_filt.fastq.gz,0.236415634,Cranberry H2O,hgcI_clade
H2O-046-520-719-1F_filt.fastq.gz,0.282491262,Cranberry H2O,Limnohabitans
H2O-046-520-719-1F_filt.fastq.gz,0.000317763,Cranberry H2O,Plesiomonas
H2O-046-520-719-1F_filt.fastq.gz,0.181442644,Cranberry H2O,Pseudarcicella
H2O-047-521-719-1F_filt.fastq.gz,0.001282668,Cranberry H2O,Aeromonas
H2O-047-521-719-1F_filt.fastq.gz,0,Cranberry H2O,Brevinema
H2O-047-521-719-1F_filt.fastq.gz,0.000320667,Cranberry H2O,Cetobacterium
H2O-047-521-719-1F_filt.fastq.gz,0,Cranberry H2O,Clostridium_sensu_stricto_1
H2O-047-521-719-1F_filt.fastq.gz,0.15375982,Cranberry H2O,Flavobacterium
H2O-047-521-719-1F_filt.fastq.gz,0.155523489,Cranberry H2O,Fluviicola
H2O-047-521-719-1F_filt.fastq.gz,0.228154561,Cranberry H2O,hgcI_clade
H2O-047-521-719-1F_filt.fastq.gz,0.328523329,Cranberry H2O,Limnohabitans
H2O-047-521-719-1F_filt.fastq.gz,0.000641334,Cranberry H2O,Plesiomonas
H2O-047-521-719-1F_filt.fastq.gz,0.131794132,Cranberry H2O,Pseudarcicella
H2O-048-522-719-1F_filt.fastq.gz,0.004323459,Cranberry H2O,Aeromonas
H2O-048-522-719-1F_filt.fastq.gz,0,Cranberry H2O,Brevinema
H2O-048-522-719-1F_filt.fastq.gz,0.000800641,Cranberry H2O,Cetobacterium
H2O-048-522-719-1F_filt.fastq.gz,0.000960769,Cranberry H2O,Clostridium_sensu_stricto_1
H2O-048-522-719-1F_filt.fastq.gz,0.107285829,Cranberry H2O,Flavobacterium
H2O-048-522-719-1F_filt.fastq.gz,0.173258607,Cranberry H2O,Fluviicola
H2O-048-522-719-1F_filt.fastq.gz,0.226581265,Cranberry H2O,hgcI_clade
H2O-048-522-719-1F_filt.fastq.gz,0.22786229,Cranberry H2O,Limnohabitans
H2O-048-522-719-1F_filt.fastq.gz,0.000480384,Cranberry H2O,Plesiomonas
H2O-048-522-719-1F_filt.fastq.gz,0.258446757,Cranberry H2O,Pseudarcicella
H2O-049-502-719-1F_filt.fastq.gz,0.001313293,Cranberry H2O,Aeromonas
H2O-049-502-719-1F_filt.fastq.gz,0,Cranberry H2O,Brevinema
H2O-049-502-719-1F_filt.fastq.gz,0,Cranberry H2O,Cetobacterium
H2O-049-502-719-1F_filt.fastq.gz,0.000437764,Cranberry H2O,Clostridium_sensu_stricto_1
H2O-049-502-719-1F_filt.fastq.gz,0.07719247,Cranberry H2O,Flavobacterium
H2O-049-502-719-1F_filt.fastq.gz,0.139355027,Cranberry H2O,Fluviicola
H2O-049-502-719-1F_filt.fastq.gz,0.186049905,Cranberry H2O,hgcI_clade
H2O-049-502-719-1F_filt.fastq.gz,0.324091639,Cranberry H2O,Limnohabitans
H2O-049-502-719-1F_filt.fastq.gz,0,Cranberry H2O,Plesiomonas
H2O-049-502-719-1F_filt.fastq.gz,0.271559901,Cranberry H2O,Pseudarcicella
H2O-050-503-719-1F_filt.fastq.gz,0.003720664,Cranberry H2O,Aeromonas
H2O-050-503-719-1F_filt.fastq.gz,0,Cranberry H2O,Brevinema
H2O-050-503-719-1F_filt.fastq.gz,0.000715512,Cranberry H2O,Cetobacterium
H2O-050-503-719-1F_filt.fastq.gz,0.001860332,Cranberry H2O,Clostridium_sensu_stricto_1
H2O-050-503-719-1F_filt.fastq.gz,0.1860332,Cranberry H2O,Flavobacterium
H2O-050-503-719-1F_filt.fastq.gz,0.111190612,Cranberry H2O,Fluviicola
H2O-050-503-719-1F_filt.fastq.gz,0.224098454,Cranberry H2O,hgcI_clade
H2O-050-503-719-1F_filt.fastq.gz,0.210503721,Cranberry H2O,Limnohabitans
H2O-050-503-719-1F_filt.fastq.gz,0.000858615,Cranberry H2O,Plesiomonas
H2O-050-503-719-1F_filt.fastq.gz,0.26101889,Cranberry H2O,Pseudarcicella
H2O-051-505-719-1F_filt.fastq.gz,0.001534919,Cranberry H2O,Aeromonas
H2O-051-505-719-1F_filt.fastq.gz,0,Cranberry H2O,Brevinema
H2O-051-505-719-1F_filt.fastq.gz,0,Cranberry H2O,Cetobacterium
H2O-051-505-719-1F_filt.fastq.gz,0,Cranberry H2O,Clostridium_sensu_stricto_1
H2O-051-505-719-1F_filt.fastq.gz,0.121806819,Cranberry H2O,Flavobacterium
H2O-051-505-719-1F_filt.fastq.gz,0.066768995,Cranberry H2O,Fluviicola
H2O-051-505-719-1F_filt.fastq.gz,0.111720206,Cranberry H2O,hgcI_clade
H2O-051-505-719-1F_filt.fastq.gz,0.197237145,Cranberry H2O,Limnohabitans
H2O-051-505-719-1F_filt.fastq.gz,0.000109637,Cranberry H2O,Plesiomonas
H2O-051-505-719-1F_filt.fastq.gz,0.500822278,Cranberry H2O,Pseudarcicella
H2O-052-506-719-1F_filt.fastq.gz,0.001077199,French Creek H2O,Aeromonas
H2O-052-506-719-1F_filt.fastq.gz,0,French Creek H2O,Brevinema
H2O-052-506-719-1F_filt.fastq.gz,0,French Creek H2O,Cetobacterium
H2O-052-506-719-1F_filt.fastq.gz,0.000179533,French Creek H2O,Clostridium_sensu_stricto_1
H2O-052-506-719-1F_filt.fastq.gz,0.201256732,French Creek H2O,Flavobacterium
H2O-052-506-719-1F_filt.fastq.gz,0.090664273,French Creek H2O,Fluviicola
H2O-052-506-719-1F_filt.fastq.gz,0.166247756,French Creek H2O,hgcI_clade
H2O-052-506-719-1F_filt.fastq.gz,0.245062837,French Creek H2O,Limnohabitans
H2O-052-506-719-1F_filt.fastq.gz,0,French Creek H2O,Plesiomonas
H2O-052-506-719-1F_filt.fastq.gz,0.29551167,French Creek H2O,Pseudarcicella
H2O-053-507-719-1F_filt.fastq.gz,0.013523666,French Creek H2O,Aeromonas
H2O-053-507-719-1F_filt.fastq.gz,0,French Creek H2O,Brevinema
H2O-053-507-719-1F_filt.fastq.gz,0,French Creek H2O,Cetobacterium
H2O-053-507-719-1F_filt.fastq.gz,0.002629602,French Creek H2O,Clostridium_sensu_stricto_1
H2O-053-507-719-1F_filt.fastq.gz,0.225018783,French Creek H2O,Flavobacterium
H2O-053-507-719-1F_filt.fastq.gz,0.09391435,French Creek H2O,Fluviicola
H2O-053-507-719-1F_filt.fastq.gz,0.209616829,French Creek H2O,hgcI_clade
H2O-053-507-719-1F_filt.fastq.gz,0.188955672,French Creek H2O,Limnohabitans
H2O-053-507-719-1F_filt.fastq.gz,0,French Creek H2O,Plesiomonas
H2O-053-507-719-1F_filt.fastq.gz,0.266341097,French Creek H2O,Pseudarcicella
H2O-054-508-719-1F_filt.fastq.gz,0.000164528,French Creek H2O,Aeromonas
H2O-054-508-719-1F_filt.fastq.gz,0,French Creek H2O,Brevinema
H2O-054-508-719-1F_filt.fastq.gz,0,French Creek H2O,Cetobacterium
H2O-054-508-719-1F_filt.fastq.gz,0.000164528,French Creek H2O,Clostridium_sensu_stricto_1
H2O-054-508-719-1F_filt.fastq.gz,0.246956236,French Creek H2O,Flavobacterium
H2O-054-508-719-1F_filt.fastq.gz,0.088351431,French Creek H2O,Fluviicola
H2O-054-508-719-1F_filt.fastq.gz,0.240704179,French Creek H2O,hgcI_clade
H2O-054-508-719-1F_filt.fastq.gz,0.191839421,French Creek H2O,Limnohabitans
H2O-054-508-719-1F_filt.fastq.gz,0.000164528,French Creek H2O,Plesiomonas
H2O-054-508-719-1F_filt.fastq.gz,0.23165515,French Creek H2O,Pseudarcicella
H2O-055-510-719-1F_filt.fastq.gz,0.000924072,French Creek H2O,Aeromonas
H2O-055-510-719-1F_filt.fastq.gz,0,French Creek H2O,Brevinema
H2O-055-510-719-1F_filt.fastq.gz,0,French Creek H2O,Cetobacterium
H2O-055-510-719-1F_filt.fastq.gz,0.000154012,French Creek H2O,Clostridium_sensu_stricto_1
H2O-055-510-719-1F_filt.fastq.gz,0.177729863,French Creek H2O,Flavobacterium
H2O-055-510-719-1F_filt.fastq.gz,0.071769598,French Creek H2O,Fluviicola
H2O-055-510-719-1F_filt.fastq.gz,0.225165563,French Creek H2O,hgcI_clade
H2O-055-510-719-1F_filt.fastq.gz,0.197443401,French Creek H2O,Limnohabitans
H2O-055-510-719-1F_filt.fastq.gz,0.000154012,French Creek H2O,Plesiomonas
H2O-055-510-719-1F_filt.fastq.gz,0.326659479,French Creek H2O,Pseudarcicella
H2O-056-511-720-1F_filt.fastq.gz,0.001176298,French Creek H2O,Aeromonas
H2O-056-511-720-1F_filt.fastq.gz,0,French Creek H2O,Brevinema
H2O-056-511-720-1F_filt.fastq.gz,0,French Creek H2O,Cetobacterium
H2O-056-511-720-1F_filt.fastq.gz,0.000588149,French Creek H2O,Clostridium_sensu_stricto_1
H2O-056-511-720-1F_filt.fastq.gz,0.197029849,French Creek H2O,Flavobacterium
H2O-056-511-720-1F_filt.fastq.gz,0.144390531,French Creek H2O,Fluviicola
H2O-056-511-720-1F_filt.fastq.gz,0.25158065,French Creek H2O,hgcI_clade
H2O-056-511-720-1F_filt.fastq.gz,0.197617997,French Creek H2O,Limnohabitans
H2O-056-511-720-1F_filt.fastq.gz,0,French Creek H2O,Plesiomonas
H2O-056-511-720-1F_filt.fastq.gz,0.207616527,French Creek H2O,Pseudarcicella
H2O-057-513-720-1F_filt.fastq.gz,0.000760225,French Creek H2O,Aeromonas
H2O-057-513-720-1F_filt.fastq.gz,0,French Creek H2O,Brevinema
H2O-057-513-720-1F_filt.fastq.gz,0,French Creek H2O,Cetobacterium
H2O-057-513-720-1F_filt.fastq.gz,0.000760225,French Creek H2O,Clostridium_sensu_stricto_1
H2O-057-513-720-1F_filt.fastq.gz,0.202371902,French Creek H2O,Flavobacterium
H2O-057-513-720-1F_filt.fastq.gz,0.14854797,French Creek H2O,Fluviicola
H2O-057-513-720-1F_filt.fastq.gz,0.221985708,French Creek H2O,hgcI_clade
H2O-057-513-720-1F_filt.fastq.gz,0.187471492,French Creek H2O,Limnohabitans
H2O-057-513-720-1F_filt.fastq.gz,0,French Creek H2O,Plesiomonas
H2O-057-513-720-1F_filt.fastq.gz,0.238102478,French Creek H2O,Pseudarcicella
H2O-058-515-720-1F_filt.fastq.gz,0.001237964,French Creek H2O,Aeromonas
H2O-058-515-720-1F_filt.fastq.gz,0,French Creek H2O,Brevinema
H2O-058-515-720-1F_filt.fastq.gz,0,French Creek H2O,Cetobacterium
H2O-058-515-720-1F_filt.fastq.gz,0,French Creek H2O,Clostridium_sensu_stricto_1
H2O-058-515-720-1F_filt.fastq.gz,0.219669876,French Creek H2O,Flavobacterium
H2O-058-515-720-1F_filt.fastq.gz,0.17303989,French Creek H2O,Fluviicola
H2O-058-515-720-1F_filt.fastq.gz,0.261072902,French Creek H2O,hgcI_clade
H2O-058-515-720-1F_filt.fastq.gz,0.143878955,French Creek H2O,Limnohabitans
H2O-058-515-720-1F_filt.fastq.gz,0.000137552,French Creek H2O,Plesiomonas
H2O-058-515-720-1F_filt.fastq.gz,0.200962861,French Creek H2O,Pseudarcicella
H2O-059-516-720-1F_filt.fastq.gz,0.000816993,French Creek H2O,Aeromonas
H2O-059-516-720-1F_filt.fastq.gz,0,French Creek H2O,Brevinema
H2O-059-516-720-1F_filt.fastq.gz,0,French Creek H2O,Cetobacterium
H2O-059-516-720-1F_filt.fastq.gz,0.000544662,French Creek H2O,Clostridium_sensu_stricto_1
H2O-059-516-720-1F_filt.fastq.gz,0.192810458,French Creek H2O,Flavobacterium
H2O-059-516-720-1F_filt.fastq.gz,0.153730937,French Creek H2O,Fluviicola
H2O-059-516-720-1F_filt.fastq.gz,0.136165577,French Creek H2O,hgcI_clade
H2O-059-516-720-1F_filt.fastq.gz,0.180827887,French Creek H2O,Limnohabitans
H2O-059-516-720-1F_filt.fastq.gz,0,French Creek H2O,Plesiomonas
H2O-059-516-720-1F_filt.fastq.gz,0.335103486,French Creek H2O,Pseudarcicella
H2O-060-517-720-1F_filt.fastq.gz,0.000920669,French Creek H2O,Aeromonas
H2O-060-517-720-1F_filt.fastq.gz,0,French Creek H2O,Brevinema
H2O-060-517-720-1F_filt.fastq.gz,0,French Creek H2O,Cetobacterium
H2O-060-517-720-1F_filt.fastq.gz,0.001074114,French Creek H2O,Clostridium_sensu_stricto_1
H2O-060-517-720-1F_filt.fastq.gz,0.209298757,French Creek H2O,Flavobacterium
H2O-060-517-720-1F_filt.fastq.gz,0.144084702,French Creek H2O,Fluviicola
H2O-060-517-720-1F_filt.fastq.gz,0.241522173,French Creek H2O,hgcI_clade
H2O-060-517-720-1F_filt.fastq.gz,0.173085776,French Creek H2O,Limnohabitans
H2O-060-517-720-1F_filt.fastq.gz,0,French Creek H2O,Plesiomonas
H2O-060-517-720-1F_filt.fastq.gz,0.23001381,French Creek H2O,Pseudarcicella
H2O-061-521-720-1F_filt.fastq.gz,0.000702543,French Creek H2O,Aeromonas
H2O-061-521-720-1F_filt.fastq.gz,0,French Creek H2O,Brevinema
H2O-061-521-720-1F_filt.fastq.gz,0,French Creek H2O,Cetobacterium
H2O-061-521-720-1F_filt.fastq.gz,0.000281017,French Creek H2O,Clostridium_sensu_stricto_1
H2O-061-521-720-1F_filt.fastq.gz,0.228045525,French Creek H2O,Flavobacterium
H2O-061-521-720-1F_filt.fastq.gz,0.159898834,French Creek H2O,Fluviicola
H2O-061-521-720-1F_filt.fastq.gz,0.277223549,French Creek H2O,hgcI_clade
H2O-061-521-720-1F_filt.fastq.gz,0.153154419,French Creek H2O,Limnohabitans
H2O-061-521-720-1F_filt.fastq.gz,0,French Creek H2O,Plesiomonas
H2O-061-521-720-1F_filt.fastq.gz,0.180694113,French Creek H2O,Pseudarcicella
H2O-062-520-720-1F_filt.fastq.gz,0.000708818,French Creek H2O,Aeromonas
H2O-062-520-720-1F_filt.fastq.gz,0,French Creek H2O,Brevinema
H2O-062-520-720-1F_filt.fastq.gz,0,French Creek H2O,Cetobacterium
H2O-062-520-720-1F_filt.fastq.gz,0.000283527,French Creek H2O,Clostridium_sensu_stricto_1
H2O-062-520-720-1F_filt.fastq.gz,0.227388716,French Creek H2O,Flavobacterium
H2O-062-520-720-1F_filt.fastq.gz,0.191380777,French Creek H2O,Fluviicola
H2O-062-520-720-1F_filt.fastq.gz,0.27161894,French Creek H2O,hgcI_clade
H2O-062-520-720-1F_filt.fastq.gz,0.158633399,French Creek H2O,Limnohabitans
H2O-062-520-720-1F_filt.fastq.gz,0,French Creek H2O,Plesiomonas
H2O-062-520-720-1F_filt.fastq.gz,0.149985824,French Creek H2O,Pseudarcicella
NP-001-502-714-1F_filt.fastq.gz,0.04349838,French Creek NP,Aeromonas
NP-001-502-714-1F_filt.fastq.gz,0.75622397,French Creek NP,Brevinema
NP-001-502-714-1F_filt.fastq.gz,0.008236927,French Creek NP,Cetobacterium
NP-001-502-714-1F_filt.fastq.gz,0.058769088,French Creek NP,Clostridium_sensu_stricto_1
NP-001-502-714-1F_filt.fastq.gz,0,French Creek NP,Flavobacterium
NP-001-502-714-1F_filt.fastq.gz,0,French Creek NP,Fluviicola
NP-001-502-714-1F_filt.fastq.gz,0,French Creek NP,hgcI_clade
NP-001-502-714-1F_filt.fastq.gz,9.25497E-05,French Creek NP,Limnohabitans
NP-001-502-714-1F_filt.fastq.gz,0.133179084,French Creek NP,Plesiomonas
NP-001-502-714-1F_filt.fastq.gz,0,French Creek NP,Pseudarcicella
NP-002-503-714-1F_filt.fastq.gz,0.015711645,French Creek NP,Aeromonas
NP-002-503-714-1F_filt.fastq.gz,0.02310536,French Creek NP,Brevinema
NP-002-503-714-1F_filt.fastq.gz,0,French Creek NP,Cetobacterium
NP-002-503-714-1F_filt.fastq.gz,0.442698706,French Creek NP,Clostridium_sensu_stricto_1
NP-002-503-714-1F_filt.fastq.gz,0,French Creek NP,Flavobacterium
NP-002-503-714-1F_filt.fastq.gz,0,French Creek NP,Fluviicola
NP-002-503-714-1F_filt.fastq.gz,0,French Creek NP,hgcI_clade
NP-002-503-714-1F_filt.fastq.gz,0,French Creek NP,Limnohabitans
NP-002-503-714-1F_filt.fastq.gz,0.518484288,French Creek NP,Plesiomonas
NP-002-503-714-1F_filt.fastq.gz,0,French Creek NP,Pseudarcicella
NP-003-505-714-1F_filt.fastq.gz,0.062664805,French Creek NP,Aeromonas
NP-003-505-714-1F_filt.fastq.gz,0,French Creek NP,Brevinema
NP-003-505-714-1F_filt.fastq.gz,0.0085311,French Creek NP,Cetobacterium
NP-003-505-714-1F_filt.fastq.gz,0.813866915,French Creek NP,Clostridium_sensu_stricto_1
NP-003-505-714-1F_filt.fastq.gz,0,French Creek NP,Flavobacterium
NP-003-505-714-1F_filt.fastq.gz,0,French Creek NP,Fluviicola
NP-003-505-714-1F_filt.fastq.gz,0,French Creek NP,hgcI_clade
NP-003-505-714-1F_filt.fastq.gz,0,French Creek NP,Limnohabitans
NP-003-505-714-1F_filt.fastq.gz,0.11493718,French Creek NP,Plesiomonas
NP-003-505-714-1F_filt.fastq.gz,0,French Creek NP,Pseudarcicella
NP-004-506-714-1F_filt.fastq.gz,0.051381109,French Creek NP,Aeromonas
NP-004-506-714-1F_filt.fastq.gz,0,French Creek NP,Brevinema
NP-004-506-714-1F_filt.fastq.gz,0.001352134,French Creek NP,Cetobacterium
NP-004-506-714-1F_filt.fastq.gz,0.947266757,French Creek NP,Clostridium_sensu_stricto_1
NP-004-506-714-1F_filt.fastq.gz,0,French Creek NP,Flavobacterium
NP-004-506-714-1F_filt.fastq.gz,0,French Creek NP,Fluviicola
NP-004-506-714-1F_filt.fastq.gz,0,French Creek NP,hgcI_clade
NP-004-506-714-1F_filt.fastq.gz,0,French Creek NP,Limnohabitans
NP-004-506-714-1F_filt.fastq.gz,0,French Creek NP,Plesiomonas
NP-004-506-714-1F_filt.fastq.gz,0,French Creek NP,Pseudarcicella
NP-007-510-714-1F_filt.fastq.gz,0.043454345,French Creek NP,Aeromonas
NP-007-510-714-1F_filt.fastq.gz,0,French Creek NP,Brevinema
NP-007-510-714-1F_filt.fastq.gz,0.006050605,French Creek NP,Cetobacterium
NP-007-510-714-1F_filt.fastq.gz,0.873487349,French Creek NP,Clostridium_sensu_stricto_1
NP-007-510-714-1F_filt.fastq.gz,0,French Creek NP,Flavobacterium
NP-007-510-714-1F_filt.fastq.gz,0,French Creek NP,Fluviicola
NP-007-510-714-1F_filt.fastq.gz,0,French Creek NP,hgcI_clade
NP-007-510-714-1F_filt.fastq.gz,0,French Creek NP,Limnohabitans
NP-007-510-714-1F_filt.fastq.gz,0.077007701,French Creek NP,Plesiomonas
NP-007-510-714-1F_filt.fastq.gz,0,French Creek NP,Pseudarcicella
NP-008-511-714-1F_filt.fastq.gz,0.012400354,Cranberry NP,Aeromonas
NP-008-511-714-1F_filt.fastq.gz,0,Cranberry NP,Brevinema
NP-008-511-714-1F_filt.fastq.gz,0.096102746,Cranberry NP,Cetobacterium
NP-008-511-714-1F_filt.fastq.gz,0.474313552,Cranberry NP,Clostridium_sensu_stricto_1
NP-008-511-714-1F_filt.fastq.gz,0,Cranberry NP,Flavobacterium
NP-008-511-714-1F_filt.fastq.gz,0,Cranberry NP,Fluviicola
NP-008-511-714-1F_filt.fastq.gz,0,Cranberry NP,hgcI_clade
NP-008-511-714-1F_filt.fastq.gz,0,Cranberry NP,Limnohabitans
NP-008-511-714-1F_filt.fastq.gz,0.417183348,Cranberry NP,Plesiomonas
NP-008-511-714-1F_filt.fastq.gz,0,Cranberry NP,Pseudarcicella
NP-009-513-714-1F_filt.fastq.gz,0.058872924,Cranberry NP,Aeromonas
NP-009-513-714-1F_filt.fastq.gz,0,Cranberry NP,Brevinema
NP-009-513-714-1F_filt.fastq.gz,0.845027057,Cranberry NP,Cetobacterium
NP-009-513-714-1F_filt.fastq.gz,0.014275051,Cranberry NP,Clostridium_sensu_stricto_1
NP-009-513-714-1F_filt.fastq.gz,0,Cranberry NP,Flavobacterium
NP-009-513-714-1F_filt.fastq.gz,0,Cranberry NP,Fluviicola
NP-009-513-714-1F_filt.fastq.gz,0,Cranberry NP,hgcI_clade
NP-009-513-714-1F_filt.fastq.gz,0,Cranberry NP,Limnohabitans
NP-009-513-714-1F_filt.fastq.gz,0.081824967,Cranberry NP,Plesiomonas
NP-009-513-714-1F_filt.fastq.gz,0,Cranberry NP,Pseudarcicella
NP-010-515-714-1F_filt.fastq.gz,0.031891319,Cranberry NP,Aeromonas
NP-010-515-714-1F_filt.fastq.gz,0,Cranberry NP,Brevinema
NP-010-515-714-1F_filt.fastq.gz,0.414779844,Cranberry NP,Cetobacterium
NP-010-515-714-1F_filt.fastq.gz,0.091627324,Cranberry NP,Clostridium_sensu_stricto_1
NP-010-515-714-1F_filt.fastq.gz,0,Cranberry NP,Flavobacterium
NP-010-515-714-1F_filt.fastq.gz,0,Cranberry NP,Fluviicola
NP-010-515-714-1F_filt.fastq.gz,0,Cranberry NP,hgcI_clade
NP-010-515-714-1F_filt.fastq.gz,0,Cranberry NP,Limnohabitans
NP-010-515-714-1F_filt.fastq.gz,0.461701513,Cranberry NP,Plesiomonas
NP-010-515-714-1F_filt.fastq.gz,0,Cranberry NP,Pseudarcicella
NP-011-516-715-1F_filt.fastq.gz,0.149653313,Cranberry NP,Aeromonas
NP-011-516-715-1F_filt.fastq.gz,0,Cranberry NP,Brevinema
NP-011-516-715-1F_filt.fastq.gz,0.397534669,Cranberry NP,Cetobacterium
NP-011-516-715-1F_filt.fastq.gz,0.025808937,Cranberry NP,Clostridium_sensu_stricto_1
NP-011-516-715-1F_filt.fastq.gz,0,Cranberry NP,Flavobacterium
NP-011-516-715-1F_filt.fastq.gz,0,Cranberry NP,Fluviicola
NP-011-516-715-1F_filt.fastq.gz,0,Cranberry NP,hgcI_clade
NP-011-516-715-1F_filt.fastq.gz,0,Cranberry NP,Limnohabitans
NP-011-516-715-1F_filt.fastq.gz,0.427003082,Cranberry NP,Plesiomonas
NP-011-516-715-1F_filt.fastq.gz,0,Cranberry NP,Pseudarcicella
NP-014-520-715-1F_filt.fastq.gz,0.579695337,Cranberry NP,Aeromonas
NP-014-520-715-1F_filt.fastq.gz,0,Cranberry NP,Brevinema
NP-014-520-715-1F_filt.fastq.gz,0.047464239,Cranberry NP,Cetobacterium
NP-014-520-715-1F_filt.fastq.gz,0.00037154,Cranberry NP,Clostridium_sensu_stricto_1
NP-014-520-715-1F_filt.fastq.gz,0,Cranberry NP,Flavobacterium
NP-014-520-715-1F_filt.fastq.gz,0,Cranberry NP,Fluviicola
NP-014-520-715-1F_filt.fastq.gz,0,Cranberry NP,hgcI_clade
NP-014-520-715-1F_filt.fastq.gz,0,Cranberry NP,Limnohabitans
